pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
Chemokine signaling pathway	165	24	7.690650517	0.160810006	0.538259372	10235;5566;108;2920;3717;5332;6387;6355;5197;2784;2771;10000;2309;7852;5908;2792;6370;5295;653361;5473;5580;94235;2787;10850	http://www.ncbi.nlm.nih.gov/gene/?term= 10235+5566+108+2920+3717+5332+6387+6355+5197+2784+2771+10000+2309+7852+5908+2792+6370+5295+653361+5473+5580+94235+2787+10850
Metabolism of xenobiotics by cytochrome P450	58	7	7.594633956	0.164979154	0.538259372	1565;6822;2052;7363;221357;1645;1555	http://www.ncbi.nlm.nih.gov/gene/?term= 1565+6822+2052+7363+221357+1645+1555
Calcium signaling pathway	167	26	7.550124004	0.16855271	0.538259372	292;8913;816;492;5566;85366;778;3356;84812;5335;109;2774;817;1956;818;5331;3708;291;2911;9630;2905;886;51806;155;553;7416	http://www.ncbi.nlm.nih.gov/gene/?term= 292+8913+816+492+5566+85366+778+3356+84812+5335+109+2774+817+1956+818+5331+3708+291+2911+9630+2905+886+51806+155+553+7416
Glutamatergic synapse	84	4	7.352446507	0.185824896	0.538259372	2792;196883;94235;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 2792+196883+94235+2787
B cell receptor signaling pathway	55	4	7.30530119	0.188207266	0.538259372	974;5777;6850;4067	http://www.ncbi.nlm.nih.gov/gene/?term= 974+5777+6850+4067
Basal cell carcinoma	45	4	7.260298728	0.189994044	0.538259372	7478;7479;7481;8326	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7479+7481+8326
Retrograde endocannabinoid signaling	57	4	7.201857142	0.194163192	0.538259372	3762;2792;94235;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 3762+2792+94235+2787
Serotonergic synapse	70	4	7.139302726	0.202501489	0.538259372	2792;5331;94235;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 2792+5331+94235+2787
Alcoholism	100	4	6.774173731	0.23466349	0.538259372	2792;94235;111;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 2792+94235+111+2787
Pathways in cancer	286	45	6.693074348	0.243001787	0.538259372	572;3675;5898;10928;330;3909;7478;7479;1286;2932;7481;25;3091;208;7040;7472;7046;1855;4790;867;2735;1027;2322;1026;4149;7187;842;4609;23533;405;1956;7484;5900;3716;7855;836;6774;5747;598;9915;7423;9134;5727;8326;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 572+3675+5898+10928+330+3909+7478+7479+1286+2932+7481+25+3091+208+7040+7472+7046+1855+4790+867+2735+1027+2322+1026+4149+7187+842+4609+23533+405+1956+7484+5900+3716+7855+836+6774+5747+598+9915+7423+9134+5727+8326+4893
Neurotrophin signaling pathway	111	6	6.658029392	0.247170935	0.538259372	5335;4915;818;5580;51806;4909	http://www.ncbi.nlm.nih.gov/gene/?term= 5335+4915+818+5580+51806+4909
Arginine and proline metabolism	45	10	6.54115759	0.254318046	0.538259372	4942;1158;383;2805;2593;223;8659;2628;5831;112817	http://www.ncbi.nlm.nih.gov/gene/?term= 4942+1158+383+2805+2593+223+8659+2628+5831+112817
NF-kappa B signaling pathway	68	5	6.505015269	0.25967838	0.538259372	330;2920;5328;597;5970	http://www.ncbi.nlm.nih.gov/gene/?term= 330+2920+5328+597+5970
Sphingolipid metabolism	45	5	6.437349395	0.267421084	0.538259372	57704;55331;79603;125981;2720	http://www.ncbi.nlm.nih.gov/gene/?term= 57704+55331+79603+125981+2720
Vascular smooth muscle contraction	102	8	6.364288768	0.275759381	0.538259372	5566;85366;10672;5331;3708;2776;5580;553	http://www.ncbi.nlm.nih.gov/gene/?term= 5566+85366+10672+5331+3708+2776+5580+553
Hippo signaling pathway	141	24	6.313002917	0.282310899	0.538259372	7478;7479;174;1741;2932;7481;6788;7040;7472;7046;1855;374;10413;6934;26524;7476;7484;3689;7855;8945;1499;166824;6657;8326	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7479+174+1741+2932+7481+6788+7040+7472+7046+1855+374+10413+6934+26524+7476+7484+3689+7855+8945+1499+166824+6657+8326
Melanogenesis	96	8	6.31164516	0.282310899	0.538259372	7478;7479;7481;2775;5330;818;51806;8326	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7479+7481+2775+5330+818+51806+8326
Hedgehog signaling pathway	47	4	6.233672337	0.290649196	0.538259372	7478;7479;7481;2735	http://www.ncbi.nlm.nih.gov/gene/?term= 7478+7479+7481+2735
Focal adhesion	204	24	6.017047904	0.315068493	0.538259372	330;3381;1286;2932;3693;85366;5595;5602;63923;2002;5908;5880;207;5295;1793;7791;5604;5747;256076;71;7058;2316;89;56924	http://www.ncbi.nlm.nih.gov/gene/?term= 330+3381+1286+2932+3693+85366+5595+5602+63923+2002+5908+5880+207+5295+1793+7791+5604+5747+256076+71+7058+2316+89+56924
Oxidative phosphorylation	44	3	5.956109785	0.319237641	0.538259372	64077;9296;521	http://www.ncbi.nlm.nih.gov/gene/?term= 64077+9296+521
Ras signaling pathway	210	24	5.967859659	0.319237641	0.538259372	572;10928;10235;5566;5595;5924;10000;5908;2792;5894;9771;84647;5295;3363;382;94235;5604;5293;2787;11145;8398;4303;4893;5863	http://www.ncbi.nlm.nih.gov/gene/?term= 572+10928+10235+5566+5595+5924+10000+5908+2792+5894+9771+84647+5295+3363+382+94235+5604+5293+2787+11145+8398+4303+4893+5863
Regulation of actin cytoskeleton	175	25	5.910087323	0.322811197	0.538259372	26999;387;6093;60;3693;6548;85366;10672;6237;5880;9459;10095;8394;4478;1793;3689;5747;55970;4342;1132;23365;7114;89;55845;56924	http://www.ncbi.nlm.nih.gov/gene/?term= 26999+387+6093+60+3693+6548+85366+10672+6237+5880+9459+10095+8394+4478+1793+3689+5747+55970+4342+1132+23365+7114+89+55845+56924
cAMP signaling pathway	184	24	5.905575941	0.324002382	0.538259372	572;816;492;483;5566;10411;2778;5594;778;2906;2771;116444;5908;109;23533;817;818;90993;2905;1128;5139;51806;338442;5348	http://www.ncbi.nlm.nih.gov/gene/?term= 572+816+492+483+5566+10411+2778+5594+778+2906+2771+116444+5908+109+23533+817+818+90993+2905+1128+5139+51806+338442+5348
Chemical carcinogenesis	52	4	5.873495162	0.328171531	0.538259372	6822;1545;2052;221357	http://www.ncbi.nlm.nih.gov/gene/?term= 6822+1545+2052+221357
Dopaminergic synapse	118	17	5.755218081	0.343061346	0.538259372	816;5566;5527;2932;5532;10000;2792;409;818;1813;3708;776;94235;2787;51806;23236;2903	http://www.ncbi.nlm.nih.gov/gene/?term= 816+5566+5527+2932+5532+10000+2792+409+818+1813+3708+776+94235+2787+51806+23236+2903
Adrenergic signaling in cardiomyocytes	140	4	5.743767588	0.346039309	0.538259372	492;5566;778;818	http://www.ncbi.nlm.nih.gov/gene/?term= 492+5566+778+818
Melanoma	68	3	5.660545169	0.35318642	0.538259372	2255;26281;1956	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+1956
Oocyte meiosis	106	17	5.549894671	0.368671828	0.538259372	29945;816;5566;5527;5532;26271;151648;818;286151;995;245711;4085;8945;699;9134;51806;10744	http://www.ncbi.nlm.nih.gov/gene/?term= 29945+816+5566+5527+5532+26271+151648+818+286151+995+245711+4085+8945+699+9134+51806+10744
Rap1 signaling pathway	192	24	5.541922348	0.370458606	0.538259372	889;5606;3937;10235;2255;5909;26281;10411;1943;8503;5908;5880;2258;2247;23533;56034;1956;5331;3689;5900;5293;84552;51806;5587	http://www.ncbi.nlm.nih.gov/gene/?term= 889+5606+3937+10235+2255+5909+26281+10411+1943+8503+5908+5880+2258+2247+23533+56034+1956+5331+3689+5900+5293+84552+51806+5587
Leukocyte transendothelial migration	82	8	5.521183795	0.372840977	0.538259372	5291;1535;7294;3383;4478;7070;3689;7412	http://www.ncbi.nlm.nih.gov/gene/?term= 5291+1535+7294+3383+4478+7070+3689+7412
cGMP-PKG signaling pathway	149	24	5.440831528	0.380583681	0.538259372	292;4207;492;10335;4773;778;2771;6543;10672;468;2626;7225;5593;3708;291;5140;2977;4846;5581;146;5499;5139;155;7416	http://www.ncbi.nlm.nih.gov/gene/?term= 292+4207+492+10335+4773+778+2771+6543+10672+468+2626+7225+5593+3708+291+5140+2977+4846+5581+146+5499+5139+155+7416
MAPK signaling pathway	236	3	5.367720633	0.393091126	0.538259372	2255;2260;26281	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+2260+26281
Inflammatory mediator regulation of TRP channels	84	10	5.078254144	0.422870756	0.538259372	816;5566;818;5331;3708;2776;5580;2150;5581;7442	http://www.ncbi.nlm.nih.gov/gene/?term= 816+5566+818+5331+3708+2776+5580+2150+5581+7442
Amphetamine addiction	59	3	5.075744431	0.423466349	0.538259372	1385;818;23237	http://www.ncbi.nlm.nih.gov/gene/?term= 1385+818+23237
Glycerophospholipid metabolism	89	6	4.94356448	0.442525313	0.538259372	54947;9468;1119;10434;56261;84647	http://www.ncbi.nlm.nih.gov/gene/?term= 54947+9468+1119+10434+56261+84647
Phosphatidylinositol signaling system	84	7	4.811425055	0.461584276	0.538259372	55300;8871;8821;51763;5298;4534;27124	http://www.ncbi.nlm.nih.gov/gene/?term= 55300+8871+8821+51763+5298+4534+27124
PI3K-Akt signaling pathway	328	90	4.807131231	0.461584276	0.538259372	2324;10319;5291;1301;2263;2255;2260;26281;50509;1286;2932;3693;55012;1943;8115;2321;3551;2997;898;208;1021;5294;4233;595;2784;2998;896;7422;3910;5618;5159;356;2309;6696;1441;5228;7010;63923;2792;468;2258;1289;5894;3691;842;4803;5156;1284;4609;2250;2247;1950;1280;3695;3480;5170;1292;56034;9180;1956;3442;284;8817;90993;3570;200186;2264;2785;3716;7248;2793;94235;1128;3667;1942;5747;5293;256076;5970;2787;3265;9134;2149;7058;2248;5649;1288;1902;1388;3690	http://www.ncbi.nlm.nih.gov/gene/?term= 2324+10319+5291+1301+2263+2255+2260+26281+50509+1286+2932+3693+55012+1943+8115+2321+3551+2997+898+208+1021+5294+4233+595+2784+2998+896+7422+3910+5618+5159+356+2309+6696+1441+5228+7010+63923+2792+468+2258+1289+5894+3691+842+4803+5156+1284+4609+2250+2247+1950+1280+3695+3480+5170+1292+56034+9180+1956+3442+284+8817+90993+3570+200186+2264+2785+3716+7248+2793+94235+1128+3667+1942+5747+5293+256076+5970+2787+3265+9134+2149+7058+2248+5649+1288+1902+1388+3690
Fructose and mannose metabolism	30	3	4.689031922	0.477069684	0.538259372	5372;6652;3101	http://www.ncbi.nlm.nih.gov/gene/?term= 5372+6652+3101
Oxytocin signaling pathway	146	24	4.652557405	0.483621203	0.538259372	9254;816;782;6093;5566;5743;4637;4776;85366;778;5595;5532;2771;196883;59285;5330;1956;818;3708;5568;255189;5499;51806;5021	http://www.ncbi.nlm.nih.gov/gene/?term= 9254+816+782+6093+5566+5743+4637+4776+85366+778+5595+5532+2771+196883+59285+5330+1956+818+3708+5568+255189+5499+51806+5021
ECM-receptor interaction	85	8	4.612093598	0.489577129	0.538259372	3675;3381;3693;7450;256076;2814;7058;3690	http://www.ncbi.nlm.nih.gov/gene/?term= 3675+3381+3693+7450+256076+2814+7058+3690
Tuberculosis	141	32	4.604406485	0.492555092	0.538259372	51606;816;841;4802;7879;5289;30835;3717;8411;8767;50617;3587;7421;6772;3656;3586;8915;817;3442;818;114609;1054;1520;836;8772;4615;5970;7189;51806;4261;51135;3109	http://www.ncbi.nlm.nih.gov/gene/?term= 51606+816+841+4802+7879+5289+30835+3717+8411+8767+50617+3587+7421+6772+3656+3586+8915+817+3442+818+114609+1054+1520+836+8772+4615+5970+7189+51806+4261+51135+3109
Adherens junction	61	6	4.593075298	0.497915426	0.538259372	5777;1956;1499;29119;1500;89	http://www.ncbi.nlm.nih.gov/gene/?term= 5777+1956+1499+29119+1500+89
Long-term potentiation	64	8	4.550357852	0.505062537	0.538259372	816;5566;5594;818;3708;2911;2905;51806	http://www.ncbi.nlm.nih.gov/gene/?term= 816+5566+5594+818+3708+2911+2905+51806
Glucagon signaling pathway	79	8	4.488793878	0.511018463	0.538259372	816;5566;468;2538;818;2308;3708;5571	http://www.ncbi.nlm.nih.gov/gene/?term= 816+5566+468+2538+818+2308+3708+5571
Inositol phosphate metabolism	68	8	4.470963984	0.513996426	0.538259372	55300;8871;8821;23007;51763;138429;4534;27124	http://www.ncbi.nlm.nih.gov/gene/?term= 55300+8871+8821+23007+51763+138429+4534+27124
Insulin signaling pathway	130	24	4.366878149	0.53067302	0.538259372	5256;5291;5566;6720;32;2932;5834;2998;51763;8471;207;2308;5140;5506;5584;3643;5499;79660;6199;51806;122809;5571;5575;2475	http://www.ncbi.nlm.nih.gov/gene/?term= 5256+5291+5566+6720+32+2932+5834+2998+51763+8471+207+2308+5140+5506+5584+3643+5499+79660+6199+51806+122809+5571+5575+2475
Type II diabetes mellitus	39	3	4.293751543	0.536628946	0.538259372	5580;3667;122809	http://www.ncbi.nlm.nih.gov/gene/?term= 5580+3667+122809
ErbB signaling pathway	85	8	4.286041304	0.538415724	0.538259372	816;6416;8440;374;5335;1956;818;56924	http://www.ncbi.nlm.nih.gov/gene/?term= 816+6416+8440+374+5335+1956+818+56924
p53 signaling pathway	67	6	4.181126931	0.554496724	0.538259372	355;1026;7157;9134;575;5268	http://www.ncbi.nlm.nih.gov/gene/?term= 355+1026+7157+9134+575+5268
Choline metabolism in cancer	63	4	4.163330094	0.557474687	0.538259372	9468;5602;1119;5900	http://www.ncbi.nlm.nih.gov/gene/?term= 9468+5602+1119+5900
Aldosterone synthesis and secretion	60	9	4.157775637	0.55807028	0.538259372	816;5566;468;5330;818;3708;51305;5581;5587	http://www.ncbi.nlm.nih.gov/gene/?term= 816+5566+468+5330+818+3708+51305+5581+5587
"Valine, leucine and isoleucine degradation"	45	5	4.0316659	0.579511614	0.538259372	11112;1962;223;54511;10449	http://www.ncbi.nlm.nih.gov/gene/?term= 11112+1962+223+54511+10449
Insulin resistance	96	12	3.985993107	0.586658725	0.538259372	51085;32;5834;2998;8473;2308;5506;133522;5580;3667;79660;5571	http://www.ncbi.nlm.nih.gov/gene/?term= 51085+32+5834+2998+8473+2308+5506+133522+5580+3667+79660+5571
Estrogen signaling pathway	85	7	3.977739423	0.587254318	0.538259372	5566;196883;5331;3708;2911;2776;5580	http://www.ncbi.nlm.nih.gov/gene/?term= 5566+196883+5331+3708+2911+2776+5580
Platelet activation	120	12	3.960644512	0.589636689	0.538259372	10235;5566;2771;8503;10672;9002;196883;5331;3708;2776;2814;4067	http://www.ncbi.nlm.nih.gov/gene/?term= 10235+5566+2771+8503+10672+9002+196883+5331+3708+2776+2814+4067
GnRH signaling pathway	79	15	3.941288876	0.590232281	0.538259372	816;6416;5566;2778;2767;4214;5332;2798;113;468;817;818;3708;5580;51806	http://www.ncbi.nlm.nih.gov/gene/?term= 816+6416+5566+2778+2767+4214+5332+2798+113+468+817+818+3708+5580+51806
GABAergic synapse	62	3	3.928910215	0.592019059	0.538259372	2556;2557;5334	http://www.ncbi.nlm.nih.gov/gene/?term= 2556+2557+5334
Axon guidance	102	10	3.848450367	0.603930911	0.538259372	2534;2932;1808;1943;2051;2043;55558;5921;29984;2242	http://www.ncbi.nlm.nih.gov/gene/?term= 2534+2932+1808+1943+2051+2043+55558+5921+29984+2242
Complement and coagulation cascades	67	6	3.848016334	0.603930911	0.538259372	5340;5328;5345;2;5627;5104	http://www.ncbi.nlm.nih.gov/gene/?term= 5340+5328+5345+2+5627+5104
Apoptosis	81	17	3.818380519	0.605717689	0.538259372	572;9020;330;355;841;5566;3551;329;3554;3656;839;207;836;8772;598;5970;5575	http://www.ncbi.nlm.nih.gov/gene/?term= 572+9020+330+355+841+5566+3551+329+3554+3656+839+207+836+8772+598+5970+5575
Glycosaminoglycan degradation	19	4	3.737963368	0.617033949	0.538259372	6677;2799;2990;2720	http://www.ncbi.nlm.nih.gov/gene/?term= 6677+2799+2990+2720
Cell cycle	123	17	3.724248776	0.622394282	0.538259372	996;29945;2932;990;994;898;595;4172;1017;1028;993;4085;5001;7534;983;9134;10744	http://www.ncbi.nlm.nih.gov/gene/?term= 996+29945+2932+990+994+898+595+4172+1017+1028+993+4085+5001+7534+983+9134+10744
Fc gamma R-mediated phagocytosis	86	7	3.717569366	0.62418106	0.538259372	5335;5880;10810;8853;5580;6850;382	http://www.ncbi.nlm.nih.gov/gene/?term= 5335+5880+10810+8853+5580+6850+382
T cell receptor signaling pathway	90	7	3.702053949	0.625967838	0.538259372	3937;5588;5777;7535;5335;6885;8915	http://www.ncbi.nlm.nih.gov/gene/?term= 3937+5588+5777+7535+5335+6885+8915
Glioma	62	3	3.636017009	0.634306135	0.538259372	816;818;51806	http://www.ncbi.nlm.nih.gov/gene/?term= 816+818+51806
Small cell lung cancer	74	6	3.618814839	0.638475283	0.538259372	330;4790;595;4149;5925;9134	http://www.ncbi.nlm.nih.gov/gene/?term= 330+4790+595+4149+5925+9134
Glycerolipid metabolism	54	4	3.571261877	0.649791543	0.538259372	11343;231;223;1056	http://www.ncbi.nlm.nih.gov/gene/?term= 11343+231+223+1056
HIF-1 signaling pathway	101	6	3.56735912	0.649791543	0.538259372	1387;816;3091;817;818;6774	http://www.ncbi.nlm.nih.gov/gene/?term= 1387+816+3091+817+818+6774
Natural killer cell mediated cytotoxicity	110	7	3.560756872	0.652173913	0.538259372	5777;5335;10870;79465;7409;154064;22914	http://www.ncbi.nlm.nih.gov/gene/?term= 5777+5335+10870+79465+7409+154064+22914
Thyroid hormone signaling pathway	111	24	3.526273902	0.655151876	0.538259372	572;5291;483;5566;2932;6548;3091;5595;595;10000;5582;9882;2626;4609;486;10499;2308;7068;90390;5604;9282;9968;4624;5350	http://www.ncbi.nlm.nih.gov/gene/?term= 572+5291+483+5566+2932+6548+3091+5595+595+10000+5582+9882+2626+4609+486+10499+2308+7068+90390+5604+9282+9968+4624+5350
Notch signaling pathway	47	4	3.368631091	0.674806432	0.538259372	1855;4853;3516;388585	http://www.ncbi.nlm.nih.gov/gene/?term= 1855+4853+3516+388585
Insulin secretion	52	8	3.284090566	0.68790947	0.538259372	5566;117;2778;2767;778;468;196883;886	http://www.ncbi.nlm.nih.gov/gene/?term= 5566+117+2778+2767+778+468+196883+886
FoxO signaling pathway	112	12	3.260309279	0.695056581	0.538259372	5291;208;8743;116986;5170;10769;2308;2911;114907;6774;5571;4303	http://www.ncbi.nlm.nih.gov/gene/?term= 5291+208+8743+116986+5170+10769+2308+2911+114907+6774+5571+4303
TNF signaling pathway	71	4	3.246166329	0.697438952	0.538259372	330;6416;7186;6885	http://www.ncbi.nlm.nih.gov/gene/?term= 330+6416+7186+6885
Toll-like receptor signaling pathway	88	14	3.182354217	0.706372841	0.538259372	6416;51311;941;3661;7187;6885;3442;114609;3627;4615;7189;29110;3665;51135	http://www.ncbi.nlm.nih.gov/gene/?term= 6416+51311+941+3661+7187+6885+3442+114609+3627+4615+7189+29110+3665+51135
Glycolysis / Gluconeogenesis	64	11	3.08945065	0.722453842	0.538259372	221;26330;9562;2026;223;5313;1737;84532;5161;3948;669	http://www.ncbi.nlm.nih.gov/gene/?term= 221+26330+9562+2026+223+5313+1737+84532+5161+3948+669
TGF-beta signaling pathway	78	9	3.055721735	0.724836212	0.538259372	9765;4092;7040;7046;93;83729;7048;4088;10637	http://www.ncbi.nlm.nih.gov/gene/?term= 9765+4092+7040+7046+93+83729+7048+4088+10637
Osteoclast differentiation	103	5	3.034598202	0.725431805	0.538259372	1535;2274;7186;5879;653361	http://www.ncbi.nlm.nih.gov/gene/?term= 1535+2274+7186+5879+653361
Linoleic acid metabolism	26	3	2.988077785	0.734961286	0.538259372	84647;1576;11145	http://www.ncbi.nlm.nih.gov/gene/?term= 84647+1576+11145
NOD-like receptor signaling pathway	44	10	2.953992876	0.742108398	0.538259372	330;841;58484;29108;8767;22900;10392;114548;10910;64170	http://www.ncbi.nlm.nih.gov/gene/?term= 330+841+58484+29108+8767+22900+10392+114548+10910+64170
Fatty acid elongation	16	3	2.887605535	0.750446694	0.538259372	9524;83401;9200	http://www.ncbi.nlm.nih.gov/gene/?term= 9524+83401+9200
Gap junction	86	17	2.884802614	0.751042287	0.538259372	5566;108;2767;3356;7082;2771;5156;3357;56034;1956;3708;2697;2911;5578;23236;6714;1902	http://www.ncbi.nlm.nih.gov/gene/?term= 5566+108+2767+3356+7082+2771+5156+3357+56034+1956+3708+2697+2911+5578+23236+6714+1902
Prolactin signaling pathway	69	5	2.848991862	0.75402025	0.538259372	2932;595;5618;6774;122809	http://www.ncbi.nlm.nih.gov/gene/?term= 2932+595+5618+6774+122809
Progesterone-mediated oocyte maturation	67	9	2.766318414	0.762358547	0.538259372	996;29945;6196;5595;51343;4085;5604;699;4342	http://www.ncbi.nlm.nih.gov/gene/?term= 996+29945+6196+5595+51343+4085+5604+699+4342
Pyruvate metabolism	39	9	2.711610626	0.77665277	0.538259372	4190;5106;97;223;5313;1737;5161;3948;134526	http://www.ncbi.nlm.nih.gov/gene/?term= 4190+5106+97+223+5313+1737+5161+3948+134526
Inflammatory bowel disease (IBD)	43	4	2.701464967	0.77903514	0.538259372	3595;3594;6774;3592	http://www.ncbi.nlm.nih.gov/gene/?term= 3595+3594+6774+3592
Adipocytokine signaling pathway	62	6	2.691707836	0.780226325	0.538259372	3717;23205;2180;6774;5571;1375	http://www.ncbi.nlm.nih.gov/gene/?term= 3717+23205+2180+6774+5571+1375
Parkinson's disease	22	4	2.677264519	0.782013103	0.538259372	292;291;54205;7416	http://www.ncbi.nlm.nih.gov/gene/?term= 292+291+54205+7416
Prostate cancer	85	10	2.684811093	0.782013103	0.538259372	2260;2932;898;1027;468;207;56034;1956;5293;9134	http://www.ncbi.nlm.nih.gov/gene/?term= 2260+2932+898+1027+468+207+56034+1956+5293+9134
AMPK signaling pathway	88	7	2.674436175	0.782608696	0.538259372	23216;23417;2997;2998;5571;9230;92335	http://www.ncbi.nlm.nih.gov/gene/?term= 23216+23417+2997+2998+5571+9230+92335
Circadian rhythm	29	4	2.60850614	0.789160214	0.538259372	1407;79365;9575;5571	http://www.ncbi.nlm.nih.gov/gene/?term= 1407+79365+9575+5571
Sphingolipid signaling pathway	96	8	2.521283423	0.798094104	0.538259372	5527;208;2771;10672;8698;5170;5295;1903	http://www.ncbi.nlm.nih.gov/gene/?term= 5527+208+2771+10672+8698+5170+5295+1903
Cysteine and methionine metabolism	35	11	2.452154193	0.807027993	0.538259372	4190;27430;191;6723;1491;4548;2805;262;1036;875;3948	http://www.ncbi.nlm.nih.gov/gene/?term= 4190+27430+191+6723+1491+4548+2805+262+1036+875+3948
Chagas disease (American trypanosomiasis)	74	10	2.377148039	0.815366289	0.538259372	355;841;6416;4792;5602;1432;5515;2353;5970;51135	http://www.ncbi.nlm.nih.gov/gene/?term= 355+841+6416+4792+5602+1432+5515+2353+5970+51135
Salmonella infection	42	6	2.356572902	0.81774866	0.538259372	7454;2318;10095;391;71;2316	http://www.ncbi.nlm.nih.gov/gene/?term= 7454+2318+10095+391+71+2316
mTOR signaling pathway	54	5	2.35180722	0.818344253	0.538259372	3091;64121;57521;10670;2475	http://www.ncbi.nlm.nih.gov/gene/?term= 3091+64121+57521+10670+2475
Hepatitis B	118	28	2.28893589	0.826086957	0.538259372	572;355;5291;841;5594;2033;3551;7040;7046;5602;1386;10000;356;5605;468;5894;3454;5295;3442;114609;3716;836;6774;2353;6773;4615;5970;1960	http://www.ncbi.nlm.nih.gov/gene/?term= 572+355+5291+841+5594+2033+3551+7040+7046+5602+1386+10000+356+5605+468+5894+3454+5295+3442+114609+3716+836+6774+2353+6773+4615+5970+1960
Pancreatic secretion	30	4	2.261915526	0.832042883	0.538259372	5331;3708;2776;886	http://www.ncbi.nlm.nih.gov/gene/?term= 5331+3708+2776+886
Regulation of lipolysis in adipocytes	51	4	2.212826887	0.839785587	0.538259372	5566;2778;196883;155	http://www.ncbi.nlm.nih.gov/gene/?term= 5566+2778+196883+155
Influenza A	67	12	2.209681238	0.840381179	0.538259372	5606;6416;2932;3717;7297;23586;6772;5295;3460;7098;4261;9021	http://www.ncbi.nlm.nih.gov/gene/?term= 5606+6416+2932+3717+7297+23586+6772+5295+3460+7098+4261+9021
