pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez	url
SOS-mediated signalling	214	12	8.253634193	0.122552116	0.40519721	2255;26281;5720;5721;5595;28956;10142;5695;818;5710;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+5721+5595+28956+10142+5695+818+5710+399473+4893
FRS-mediated FGFR4 signaling	215	14	8.245981982	0.12381554	0.40519721	2255;26281;5720;5594;5721;28956;10142;5695;818;5710;2905;115727;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+5594+5721+28956+10142+5695+818+5710+2905+115727+399473+4893
Downstream signaling of activated FGFR3	292	32	8.240149116	0.125710676	0.40519721	816;2065;2255;26281;5720;5687;5721;5595;5709;942;6711;28956;5335;5908;10142;1742;153090;5695;2247;818;5710;50852;5580;161742;145957;2244;115727;5728;3265;3932;22821;2248	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2065+2255+26281+5720+5687+5721+5595+5709+942+6711+28956+5335+5908+10142+1742+153090+5695+2247+818+5710+50852+5580+161742+145957+2244+115727+5728+3265+3932+22821+2248
ARMS-mediated activation	218	14	8.227627638	0.126342388	0.40519721	816;2255;5527;26281;5720;5721;5595;28956;10142;5695;818;115727;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+5527+26281+5720+5721+5595+28956+10142+5695+818+115727+399473+4893
SHC1 events in EGFR signaling	214	14	8.227627638	0.126342388	0.40519721	816;2255;5527;26281;5720;5721;5595;28956;10142;5695;818;115727;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+5527+26281+5720+5721+5595+28956+10142+5695+818+115727+399473+4893
Signaling by FGFR3	295	32	8.176530888	0.127605812	0.40519721	5704;816;2255;5527;26281;5720;5711;5721;5595;9693;942;28956;5335;10142;153090;5695;8844;409;817;1956;818;5710;2905;50852;5580;161742;145957;115727;5728;6712;3265;2248	http://www.ncbi.nlm.nih.gov/gene/?term= 5704+816+2255+5527+26281+5720+5711+5721+5595+9693+942+28956+5335+10142+153090+5695+8844+409+817+1956+818+5710+2905+50852+5580+161742+145957+115727+5728+6712+3265+2248
FRS-mediated FGFR3 signaling	215	14	8.157549575	0.129500948	0.40519721	2255;26281;5720;5721;5595;6711;28956;10142;5695;818;5710;6712;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+5721+5595+6711+28956+10142+5695+818+5710+6712+399473+4893
GRB2 events in EGFR signaling	214	14	8.161891698	0.129500948	0.40519721	816;2255;26281;5720;5594;5721;28956;10142;5695;818;5710;2905;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+5594+5721+28956+10142+5695+818+5710+2905+399473+4893
Mitochondrial translation termination	80	7	8.154252927	0.129500948	0.40519721	54516;64949;51318;29088;54148;84340;54998	http://www.ncbi.nlm.nih.gov/gene/?term= 54516+64949+51318+29088+54148+84340+54998
Downstream signaling of activated FGFR2	292	32	8.146019507	0.13013266	0.40519721	816;2065;2255;5527;26281;5720;5687;5721;5595;28956;10142;1742;153090;5695;2247;1848;6233;817;818;5710;808;2905;50852;5580;145957;7314;115727;5728;156;3265;2248;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2065+2255+5527+26281+5720+5687+5721+5595+28956+10142+1742+153090+5695+2247+1848+6233+817+818+5710+808+2905+50852+5580+145957+7314+115727+5728+156+3265+2248+399473
Downstream signal transduction	304	32	8.137051278	0.13013266	0.40519721	2255;5527;26281;5720;5711;3717;5687;5721;5595;942;6711;28956;10142;153090;5695;2247;6233;5295;1956;818;5710;808;2905;50852;5580;161742;7314;2244;115727;156;6712;3265	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+5527+26281+5720+5711+3717+5687+5721+5595+942+6711+28956+10142+153090+5695+2247+6233+5295+1956+818+5710+808+2905+50852+5580+161742+7314+2244+115727+156+6712+3265
NCAM signaling for neurite out-growth	251	21	8.13630081	0.13013266	0.40519721	816;2255;5527;26281;5720;1299;5594;5687;5721;28956;10142;153090;5695;8128;818;4684;5710;145957;256076;3265;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+5527+26281+5720+1299+5594+5687+5721+28956+10142+153090+5695+8128+818+4684+5710+145957+256076+3265+399473
VEGFR2 mediated cell proliferation	223	14	8.149165409	0.13013266	0.40519721	2255;26281;5721;5595;28956;10142;5695;818;5710;5580;2244;8877;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5721+5595+28956+10142+5695+818+5710+5580+2244+8877+399473+4893
Insulin receptor signalling cascade	261	32	8.11823418	0.132027795	0.40519721	5704;816;2255;5527;26281;5720;5711;5721;5595;5924;6711;28956;64121;10142;5682;5695;1848;409;5694;6233;1956;818;5710;145957;7314;115727;5571;22821;2248;399473;4893;92335	http://www.ncbi.nlm.nih.gov/gene/?term= 5704+816+2255+5527+26281+5720+5711+5721+5595+5924+6711+28956+64121+10142+5682+5695+1848+409+5694+6233+1956+818+5710+145957+7314+115727+5571+22821+2248+399473+4893+92335
DAP12 interactions	313	32	8.10986254	0.133291219	0.40519721	5704;816;2255;26281;5720;5711;9402;5721;5924;6711;28956;941;5335;5605;5908;10142;5695;2247;817;5921;818;5710;2905;50852;5580;5747;145957;2244;115727;5728;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 5704+816+2255+26281+5720+5711+9402+5721+5924+6711+28956+941+5335+5605+5908+10142+5695+2247+817+5921+818+5710+2905+50852+5580+5747+145957+2244+115727+5728+200734+4893
DAP12 signaling	306	32	8.047382242	0.135818067	0.40519721	2255;5527;26281;5720;3717;5721;6711;28956;5335;10142;1742;5156;153090;5695;2247;5694;6233;817;1956;818;673;50852;5580;2244;115727;5728;6712;3265;5719;22821;2248;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+5527+26281+5720+3717+5721+6711+28956+5335+10142+1742+5156+153090+5695+2247+5694+6233+817+1956+818+673+50852+5580+2244+115727+5728+6712+3265+5719+22821+2248+399473
FRS-mediated FGFR2 signaling	215	14	8.053528903	0.135818067	0.40519721	2255;5527;26281;5720;5721;5595;28956;10142;5695;818;5710;115727;3265;4763	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+5527+26281+5720+5721+5595+28956+10142+5695+818+5710+115727+3265+4763
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	262	17	8.069046353	0.135818067	0.40519721	816;2255;26281;5720;28956;64121;10142;153090;5695;818;5710;2905;7529;115727;3265;5571;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+28956+64121+10142+153090+5695+818+5710+2905+7529+115727+3265+5571+399473
IGF1R signaling cascade	262	32	8.039601973	0.136449779	0.40519721	816;2255;26281;5720;5711;3717;5721;5595;5924;6711;28956;64121;10142;5682;1742;5695;1848;5694;818;5140;284;10670;5710;2905;10818;145957;2244;115727;5571;22821;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+5711+3717+5721+5595+5924+6711+28956+64121+10142+5682+1742+5695+1848+5694+818+5140+284+10670+5710+2905+10818+145957+2244+115727+5571+22821+399473+4893
SHC1 events in ERBB4 signaling	214	14	8.016850577	0.138344915	0.40519721	2255;26281;5720;5594;5721;28956;10142;5695;818;5710;2905;115727;3265;200734	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+5594+5721+28956+10142+5695+818+5710+2905+115727+3265+200734
MAPK1/MAPK3 signaling	220	14	7.982464787	0.139608339	0.40519721	2255;369;26281;5720;5721;28956;10142;5682;5695;818;5710;161742;115727;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+369+26281+5720+5721+28956+10142+5682+5695+818+5710+161742+115727+4893
Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell	128	7	8.003021948	0.139608339	0.40519721	10142;2792;1742;818;2899;94235;2787	http://www.ncbi.nlm.nih.gov/gene/?term= 10142+2792+1742+818+2899+94235+2787
Signaling by FGFR1	296	34	7.989171591	0.139608339	0.40519721	2255;369;5527;26281;5720;3717;5687;5721;5924;942;6711;28956;941;10142;1742;5695;5694;1956;818;5710;808;2905;50852;5580;145957;7314;2244;115727;5728;156;6712;3265;2248;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+369+5527+26281+5720+3717+5687+5721+5924+942+6711+28956+941+10142+1742+5695+5694+1956+818+5710+808+2905+50852+5580+145957+7314+2244+115727+5728+156+6712+3265+2248+399473
Signaling by Leptin	222	14	7.943805486	0.141503474	0.40519721	2255;26281;5720;3717;5594;5721;28956;10142;153090;5695;818;5710;3265;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+3717+5594+5721+28956+10142+153090+5695+818+5710+3265+399473
SHC1 events in ERBB2 signaling	214	14	7.920953364	0.142766898	0.40519721	2255;5527;26281;5721;5595;28956;5908;10142;5695;818;5710;161742;115727;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+5527+26281+5721+5595+28956+5908+10142+5695+818+5710+161742+115727+4893
Signalling to RAS	225	32	7.926627263	0.142766898	0.40519721	816;2255;5527;26281;5720;5711;3717;5687;5721;5595;5924;6711;28956;5908;10142;5682;153090;5695;2247;1848;409;817;818;5710;145957;115727;6712;3265;10718;22821;2248;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+5527+26281+5720+5711+3717+5687+5721+5595+5924+6711+28956+5908+10142+5682+153090+5695+2247+1848+409+817+818+5710+145957+115727+6712+3265+10718+22821+2248+399473
Frs2-mediated activation	219	21	7.89831737	0.144030322	0.40519721	816;2255;5527;26281;5720;5711;3717;5721;5595;5924;6711;28956;10142;5695;2247;818;5710;2244;115727;3265;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+5527+26281+5720+5711+3717+5721+5595+5924+6711+28956+10142+5695+2247+818+5710+2244+115727+3265+399473
Signaling by ERBB4	295	34	7.88685598	0.144662034	0.40519721	2255;26281;5241;5720;5711;5687;5721;5595;6387;28956;6776;5908;10142;1447;153090;5695;1848;1956;818;284;5710;2905;50852;145957;2244;115727;5728;6712;2066;22821;2248;399473;55851;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5241+5720+5711+5687+5721+5595+6387+28956+6776+5908+10142+1447+153090+5695+1848+1956+818+284+5710+2905+50852+145957+2244+115727+5728+6712+2066+22821+2248+399473+55851+4893
IRS-related events triggered by IGF1R	262	21	7.856191204	0.145925458	0.40519721	2255;26281;5720;5687;5721;5595;6711;28956;64121;10142;5682;5695;818;2905;145957;115727;5571;22821;2248;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+26281+5720+5687+5721+5595+6711+28956+64121+10142+5682+5695+818+2905+145957+115727+5571+22821+2248+200734+4893
M Phase	239	32	7.870826115	0.145925458	0.40519721	996;29945;5527;5720;5687;5721;26271;10783;91754;11130;64105;5682;891;9700;5695;9493;5694;1060;54892;220134;5710;11243;4000;151246;9232;5347;8290;699;7314;378708;55920;8349	http://www.ncbi.nlm.nih.gov/gene/?term= 996+29945+5527+5720+5687+5721+26271+10783+91754+11130+64105+5682+891+9700+5695+9493+5694+1060+54892+220134+5710+11243+4000+151246+9232+5347+8290+699+7314+378708+55920+8349
Signaling by Insulin receptor	284	32	7.856546973	0.145925458	0.40519721	2255;5527;26281;5720;5687;5721;5595;5713;6711;28956;64121;5908;10142;5682;1742;3845;153090;5695;1848;6233;5921;818;10670;5710;2905;145957;2244;115727;6712;22821;2248;399473	http://www.ncbi.nlm.nih.gov/gene/?term= 2255+5527+26281+5720+5687+5721+5595+5713+6711+28956+64121+5908+10142+5682+1742+3845+153090+5695+1848+6233+5921+818+10670+5710+2905+145957+2244+115727+6712+22821+2248+399473
Mitochondrial translation initiation	79	5	7.795005653	0.149084018	0.40519721	64949;51318;29088;54148;54998	http://www.ncbi.nlm.nih.gov/gene/?term= 64949+51318+29088+54148+54998
GRB2 events in ERBB2 signaling	214	23	7.690151531	0.152242577	0.40519721	816;2255;5527;26281;5720;5711;5595;6711;28956;10142;1742;5695;2247;818;5710;2905;6708;2244;115727;6712;22821;200734;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+5527+26281+5720+5711+5595+6711+28956+10142+1742+5695+2247+818+5710+2905+6708+2244+115727+6712+22821+200734+4893
Signalling to ERKs	232	21	7.668671911	0.154137713	0.40519721	816;2255;26281;5720;5721;5595;28956;10142;5682;5695;2247;1848;818;6014;673;5710;2244;115727;2248;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 816+2255+26281+5720+5721+5595+28956+10142+5682+5695+2247+1848+818+6014+673+5710+2244+115727+2248+399473+4893
FCERI mediated MAPK activation	234	23	7.65978642	0.154769425	0.40519721	6416;2255;26281;5720;3717;5721;5595;5602;6711;28956;10142;5695;6233;818;5710;2905;2353;2244;115727;3725;22821;399473;4893	http://www.ncbi.nlm.nih.gov/gene/?term= 6416+2255+26281+5720+3717+5721+5595+5602+6711+28956+10142+5695+6233+818+5710+2905+2353+2244+115727+3725+22821+399473+4893
Signaling by Rho GTPases	337	83	7.561656309	0.157296273	0.40519721	1080;115703;1856;10928;116984;57120;1535;387;998;9886;54820;50508;5063;7514;2017;9183;4637;6655;5595;64130;3984;1855;4928;5515;58480;23433;348995;644150;11130;5585;64105;64333;55288;5880;58504;151648;10095;23229;1742;10810;4221;10006;10144;8826;354;11004;83540;1060;23092;255626;1730;158763;80728;3619;84033;220134;114793;995;653361;29;8997;29941;11243;29127;151246;4085;117289;10395;7534;55839;699;147179;9793;378708;391;55920;71;8349;124056;57591;9824;84986;55845	http://www.ncbi.nlm.nih.gov/gene/?term= 1080+115703+1856+10928+116984+57120+1535+387+998+9886+54820+50508+5063+7514+2017+9183+4637+6655+5595+64130+3984+1855+4928+5515+58480+23433+348995+644150+11130+5585+64105+64333+55288+5880+58504+151648+10095+23229+1742+10810+4221+10006+10144+8826+354+11004+83540+1060+23092+255626+1730+158763+80728+3619+84033+220134+114793+995+653361+29+8997+29941+11243+29127+151246+4085+117289+10395+7534+55839+699+147179+9793+378708+391+55920+71+8349+124056+57591+9824+84986+55845
