GENE	ES_A549
PRTFDC1	0.52
SRRM2	-0.91
LOC402644	-0.32
OR4C3	-0.32
ZNF595	-0.36
TNFSF11	NA
GRM8	0.52
ADAT1	0.83
C20ORF42	-0.77
IPMK	-0.4
SPRED2	NA
NUDT9	NA
TRAT1	-0.88
ROCK1	NA
C13ORF27	NA
CLEC4E	-0.57
TCOF1	-0.65
RAP1GDS1	-0.71
OR51E2	NA
CPSF1	-0.72
PHB	-0.74
PLA2G4C	-0.29
ADSS	0.31
PLA2G4A	NA
B4GALNT2	-0.44
ASIP	NA
ANKRD17	-0.67
FST	-0.63
HCRTR2	NA
PLD2	0.53
SEMA4G	-0.65
CACNA1A	NA
WNK3	-0.66
TAF9B	0.83
C20ORF86	0.48
SNRPD2	-0.7
VGLL1	NA
DDEF2	0.81
CDK5	NA
RSU1	0.55
EBNA1BP2	-0.65
SLC35E3	NA
HLA-DRB1	-0.47
ATM	-0.58
SEMA6C	-0.52
OR10A4	0.49
TAF5L	0.83
OR8B3	-0.88
LOC440434	-0.69
PLCB2	-0.72
ZNF3	0.76
GPR34	0.41
PSMD7	-0.7
LOC390732	NA
CDC42EP3	-0.28
MYOT	0.83
FOSL2	-0.47
DEGS1	-0.53
CDH24	NA
OR5AT1	-0.88
UBE1C	-0.47
MCOLN3	NA
CRHR2	0.4
EXT2	NA
SDHA	-0.7
CAMLG	0.51
PLOD2	0.38
COX6A2	0.88
SF3B5	-0.68
RG9MTD2	NA
NSF	-0.4
PPRC1	-0.52
PCSK1N	NA
LASS4	NA
POLE2	-0.77
SIX6	-0.46
ZNF224	-0.88
SYTL4	-0.47
COPE	-0.74
APOBEC3F	-0.68
RAB30	0.26
PNPT1	-0.87
PAX8	0.43
SIAHBP1	-0.65
FGF6	NA
SF3A3	-0.84
CDON	0.82
ABCA3	-0.64
DAG1	0.82
SHOX2	NA
UGT2B17	0.6
NDUFB2	NA
IL1R1	NA
SLC25A16	NA
TRFP	-0.71
DPYSL3	-0.58
HLA-DRB5	-0.88
EXOSC10	NA
DSC2	-0.68
PRDM9	0.35
GUCA2A	NA
CXCL6	0.4
KLRD1	0.31
IL17B	NA
MAPKAPK3	0.31
SUPT7L	0.56
CINP	-0.47
PPAP2C	0.82
DHRS7B	0.38
TTC8	0.36
PPP4R2	NA
IQCD	-0.51
CELSR2	-0.58
PEG10	NA
COX6A1	0.58
RPS15	-0.79
FTH1	-0.69
LOC375133	-0.83
SUGT1	-0.75
PTGER1	0.35
LATS1	0.8
NXN	0.43
L1CAM	-0.5
SNAPC5	0.82
CD33	-0.72
ALDH5A1	-0.61
WFDC8	NA
ETV1	-0.54
CTPS	NA
ITPK1	0.43
PHOSPHO1	NA
LOC402202	NA
ELP4	-0.59
YEATS4	NA
GPR87	0.37
FLJ33790	NA
EHD2	-0.5
EGLN3	-0.65
STEAP2	0.52
RANBP2	-0.84
RBJ	0.43
PIN4	-0.5
H-PLK	-0.58
ATOH7	0.35
MAPK14	-0.55
ZBTB20	-0.58
ATP2A2	-0.7
C1ORF91	-0.58
BPTF	-0.72
POLR2A	NA
VLDLR	-0.67
NDUFB6	-0.37
NR1D2	NA
AGXT	0.35
TMEM182	0.63
OTC	-0.66
ACIN1	-0.84
CHID1	NA
KSR1	-0.62
RNF17	-0.52
ASGR2	-0.91
HOXB6	0.9
HLA-DQB2	-0.56
SLC16A8	0.41
PRMT1	-0.55
SLC12A5	NA
C14ORF39	NA
CDC23	-0.74
NMT2	0.52
CCL3L1	NA
ALG6	-0.3
ETV4	-0.38
BPGM	0.37
OTX2	-0.5
GPX2	NA
AGXT2L1	0.5
TRPC1	0.38
LOC389727	-0.87
GEFT	-0.67
LOC401605	-0.8
LSMD1	NA
DTYMK	0.9
ARNTL2	NA
BMPR1A	-0.77
PARP4	-0.62
PMM1	-0.59
CMAS	0.5
RASSF3	0.84
SGEF	0.38
KIAA2002	-0.48
OR1G1	-0.37
TM7SF4	-0.38
PCDH9	-0.53
CTCF	-0.62
IL22RA2	0.43
TMC7	-0.76
ISY1	-0.75
RANGAP1	-0.81
PPP5C	-0.81
PPP1R16B	0.41
MB	-0.7
AFF4	-0.7
CYP2A6	0.75
LILRA2	-0.87
RPS27A	-0.79
PARP2	-0.27
TBL1XR1	-0.65
LYRM5	-0.57
PCDH18	NA
GNA11	-0.77
CHP	0.4
SAE1	-0.59
CD160	-0.7
KLK10	-0.87
PTPRCAP	-0.74
ZNF230	-0.69
PPP2R5A	-0.55
CTSH	0.89
FKBP1A	-0.64
CDK9	-0.52
DDI2	0.64
DEAF1	-0.47
UHMK1	-0.5
UVRAG	NA
KHDRBS2	-0.59
DSCR6	-0.87
EIF2B2	-0.85
EPS8	-0.73
RAB13	NA
ELOVL2	NA
RPS8	-0.92
RBM5	-0.65
DYSF	-0.69
CSTA	-0.45
UBE2R2	NA
GRIK5	0.32
CCL5	-0.74
CRNKL1	0.38
HSPA8	-0.57
TFDP3	0.43
NFIC	0.81
GLS	-0.59
THOC5	0.35
UGT2B15	0.27
RPS4X	-0.71
ARL6	0.51
FBXW2	-0.78
ARL15	-0.76
PYCRL	-0.35
TEAD1	-0.87
NPR3	-0.45
EYA3	-0.45
PGM5	0.37
ZNF189	NA
FAT4	-0.49
SCML2	-0.9
PHF5A	-0.68
NKX6-2	0.81
STX6	-0.76
DGCR14	0.78
EZH1	0.48
HSPB1	0.52
HGS	-0.54
UTS2R	-0.47
PLEC1	NA
LILRA1	0.4
PPP2R5B	NA
ALAS2	0.35
LOXL2	-0.64
ACTL6A	-0.59
CD70	-0.88
ERVWE1	NA
SV2A	-0.76
FRS2	0.47
CTSD	0.81
TAGAP	0.52
SERPINA7	0.43
CUEDC1	0.81
ADAM7	0.4
UBC	-0.52
SPRY2	-0.45
GTF3C2	NA
ALDH3A2	NA
DPP8	0.49
ADAM32	-0.81
NEK3	-0.57
NT5C1B	NA
C18ORF24	-0.53
GPR82	NA
PHYH	-0.72
CTSG	NA
NCOR2	-0.71
BMP2	NA
RAD54B	NA
RHCG	NA
PAPLN	0.66
MLC1	0.32
OR12D3	-0.86
NAPB	-0.77
LMBR1L	-0.67
PSMB9	0.42
GPR180	-0.48
RASL11A	0.44
LENG9	0.48
TSEN34	-0.87
DPYSL2	-0.75
HPS4	0.61
TIMM50	-0.75
SF3B2	-0.75
GPD2	-0.76
NOS1AP	0.8
REPS1	-0.39
ZCCHC14	NA
ACOT2	0.26
ZNF430	NA
IGSF6	NA
WT1	-0.48
ESRRG	-0.7
PRDM12	-0.61
PPP1R15B	-0.76
KPNA1	-0.9
HOXA2	-0.65
DMPK	-0.8
PNRC1	-0.35
PLS3	NA
CTSO	-0.49
LOC401859	NA
APLP1	-0.53
EIF3S5	NA
CAPS2	-0.86
FASLG	-0.54
TAS2R44	0.38
SAE2	-0.75
N-PAC	-0.83
MAN2B1	0.76
HTR2C	-0.68
MADCAM1	NA
LOC164036	0.88
EIF4A1	-0.7
GLT8D2	0.38
CYP19A1	NA
HACL1	-0.64
QPCTL	-0.95
SYT2	0.91
CIB4	0.73
SCLY	NA
MGC52282	-0.77
OR8G5	-0.58
GNAI2	-0.71
MYST1	0.5
NHN1	-0.38
BCORL2	-0.42
PDHA1	-0.43
GABRD	0.8
CITED2	0.33
RPS12	-0.61
DDX20	-0.64
PDE7B	-0.53
HTATIP	-0.61
RPN1	-0.61
PDGFRB	0.36
MNDA	0.54
PPTC7	0.42
MGC16169	-0.52
TST	-0.43
HBP1	-0.86
RPE65	-0.59
TIMP3	-0.74
FLJ20035	0.8
NDRG1	-0.56
VPS26B	NA
MLH3	-0.64
BAT5	-0.61
WBP11	-0.69
TLL1	0.36
ATP5I	-0.65
PCDH12	0.83
OR5V1	0.8
MBIP	-0.64
CYC1	-0.39
CENPJ	0.57
ATAD2B	-0.75
GAB1	-0.86
PPP4R1	-0.54
UROD	-0.72
HDAC3	-0.57
PNPLA4	-0.82
PCDH1	-0.64
IMP4	-0.75
NDUFB5	-0.62
RUNX1T1	NA
TPCN1	0.65
PCDHA12	-0.27
SLC24A1	0.8
DHRS9	-0.65
ARFGAP1	0.63
DHX9	-0.71
POLR3C	NA
SEMA4C	-0.66
SLC25A14	-0.55
LGALS8	0.83
U2AF1	-0.67
UBE2N	0.47
NFATC2	0.4
RAP1GAP	0.51
PRPF4B	-0.71
LRP4	0.52
GABARAP	-0.67
SMAD1	-0.56
PSMB6	-0.7
PSAT1	0.38
POLR2K	0.28
PHKA2	-0.9
LOC440785	NA
SOCS2	-0.55
ZNF141	-0.85
OAT	0.72
MRAS	0.8
B2M	0.44
GPR27	-0.49
CD2	NA
TENC1	-0.44
GMFG	-0.59
C1R	0.8
JMJD6	-0.86
OR5T2	-0.56
CENPF	0.41
ATRNL1	NA
MOGAT1	-0.7
LSM8	-0.7
GALE	0.43
ANXA3	0.75
HNRPAB	-0.46
FLJ40852	0.31
PHACTR1	NA
SLC10A5	-0.46
LOC91316	NA
PSME1	0.39
GRIK3	NA
HLA-F	-0.47
ARSJ	-0.69
UBE2S	0.45
HOXD12	-0.61
ZCCHC2	NA
RBMX	-0.86
CPB2	-0.53
NCBP1	NA
CHD4	-0.8
MTMR14	NA
NDST3	0.46
PRPF6	-0.86
FLJ35220	0.31
UBR1	-0.64
LOC442624	-0.62
MAD1L1	0.8
FLJ10986	-0.57
SLC7A8	0.65
PCDHGB4	0.52
IRX6	-0.77
APOC3	-0.5
PPP1R1C	-0.75
DOC2A	0.53
KYNU	0.29
RPS13	-0.7
SSH3	NA
CHGN	-0.27
ZMYND11	-0.36
SMAD9	-0.5
BBS4	-0.52
M6PR	0.79
CD58	-0.62
CREBZF	-0.6
ADH5P4	-0.7
DYNC1LI1	NA
IMPAD1	-0.61
EGFL11	-0.6
PFN1	-0.94
NXF1	-0.77
IL17RB	NA
AHCY	NA
PRPF19	-0.79
CYSLTR2	-0.33
THEX1	-0.73
LOC390859	0.79
PITPNM3	-0.41
PMP22	NA
HSPA14	-0.86
TNNI2	-0.47
RIMS2	-0.64
FAT	-0.61
NYD-SP21	-0.57
SEC14L2	-0.64
CROP	-0.67
SMG1	-0.64
TTBK1	NA
HSP90AA1	-0.83
CYP24A1	0.65
C13ORF1	NA
OR10J1	-0.42
ACO1	-0.42
ARHGEF12	-0.66
CIT	0.59
KIR2DL4	0.46
RNF138	-0.65
IDH3A	-0.68
CRIM1	0.26
ZNF347	-0.9
CYP26C1	NA
BIRC1	NA
FBXO25	0.45
FCRL1	0.43
HPCA	0.49
UGT2A1	0.39
MAP3K7IP3	-0.45
SOHLH2	-0.9
ERBB3	-0.69
HLA-DQB1	-0.65
MOV10L1	-0.55
DAPK2	0.36
LOC440368	0.51
ADCY2	0.44
WBSCR16	NA
SGK2	0.47
AOC3	-0.67
LIF	-0.51
ST6GALNAC4	-0.48
PTRH1	-0.45
MMAA	NA
HADH	-0.86
SYT7	-0.54
RNF24	0.41
TRIM26	-0.52
PIK4CB	-0.71
GGPS1	-0.61
GZMM	0.42
ATP8B4	0.6
XK	0.64
FGA	0.63
COX7A1	-0.34
FLJ23356	NA
LOC343474	-0.68
SELENBP1	0.79
CDK2	-0.37
KIRREL3	0.43
VEZF1	0.32
WWP2	-0.71
NDUFA10	-0.65
ADAMTS9	NA
IL13RA2	-0.74
FBP1	-0.65
POFUT1	-0.64
FYN	-0.6
CCL23	0.59
TFAP4	0.68
PC	-0.34
DPEP1	-0.79
CHRNA2	-0.61
KIAA1688	-0.68
CDO1	-0.46
HSPD1	-0.58
DNAJA4	-0.62
NCBP2	-0.52
COTL1	0.46
ADCK2	-0.59
PSMA5	-0.64
RPS18	-0.86
GPR12	NA
OR56A1	NA
LOC392549	0.79
BAG5	-0.76
PFKFB4	-0.47
FCN1	0.8
UBAP2L	-0.56
PANK2	0.46
TLX3	-0.7
SLC10A6	-0.6
DNAJB1	-0.66
ASRGL1	-0.75
PIK3CG	-0.61
PPIL5	-0.48
CCL24	-0.49
LOC441567	-0.63
PRSS12	-0.55
PRKCA	NA
SLC25A23	-0.64
CREG1	NA
GLT25D2	-0.66
ST13	NA
KCNA1	-0.72
RRAGC	-0.55
APC	-0.67
TEAD2	-0.52
PCTK3	-0.56
CABP2	0.34
UBQLN2	-0.28
KRIT1	0.33
ARHGAP6	0.44
CYP7A1	-0.63
HDAC8	0.78
PKHD1	NA
KCNJ6	-0.58
TRPM6	0.34
ANXA5	-0.55
BNIP3	-0.86
ALF	-0.56
BRE	-0.6
RUVBL1	-0.76
GFPT2	0.43
OR52R1	0.32
SLC16A6	0.64
ITGA8	0.4
ABCA6	0.44
GKAP1	NA
GPR109B	0.33
CDH19	0.31
UBE2T	-0.53
SPTLC2	-0.86
RAB35	-0.63
AGPAT4	0.62
KIF21A	-0.54
DCTN1	-0.75
TDRD3	-0.73
LOC390704	NA
IL7	0.63
RFPL3	0.61
GABRE	0.43
PLA2G2A	0.54
HMBOX1	NA
SLN	0.57
CYP1B1	0.3
CD48	-0.49
SERGEF	-0.6
AATK	0.85
KLF15	NA
PCBP2	-0.8
OGG1	-0.85
SFRS3	-0.62
HAO2	0.31
DUOX1	-0.6
SUFU	-0.34
ZNF236	-0.68
RAB7A	-0.37
PEX12	-0.54
BACE2	-0.62
TBP	0.57
GATAD2A	-0.57
MARCO	-0.55
SEPHS1	-0.85
PNPLA5	NA
UCHL3	0.29
CTSE	0.85
SCG5	-0.37
ATP8B1	NA
ACAA1	0.58
PTRH2	-0.4
CENPH	-0.4
EGLN2	-0.64
PPP2R2D	-0.79
SIGLEC5	-0.8
C17ORF57	NA
IDH2	-0.49
NDUFS4	-0.66
CAB39L	0.3
PCDHB5	0.49
SF3B3	-0.85
CP	-0.28
LACTB	-0.31
CNGB3	0.36
NR3C2	-0.61
LRAT	NA
BLMH	-0.45
PGM2	-0.49
LOC220729	-0.63
PPP1CA	NA
LOC202201	0.42
SPATA6	-0.61
HTR6	-0.63
SOS2	-0.75
CFL1	-0.57
SON	-0.74
ADCYAP1	-0.68
MFSD11	-0.31
LNX2	NA
TMPRSS11A	-0.56
CPOX	-0.62
UNC5C	-0.85
HIAT1	-0.56
BARHL1	-0.64
B4GALT7	NA
OR4K17	-0.67
SDR-O	-0.77
TFEB	-0.8
GALNT8	-0.59
SLC16A3	NA
LOC441921	0.5
NAT10	-0.89
RAB33B	NA
NONO	-0.8
DIAPH2	0.43
ICMT	NA
GPR132	0.34
LOC121006	-0.53
TLR5	-0.71
PTPN4	0.29
PTGES3	0.53
ADRBK2	-0.71
LGALS12	-0.51
PPIL2	0.76
KCNIP3	NA
PVRL1	-0.48
NMUR1	-0.67
RXFP2	-0.5
RPS6KL1	NA
CENTD2	-0.6
COPB2	-0.78
IL12A	NA
RAB22A	0.68
SOX17	0.89
ZNF200	0.51
COL2A1	-0.55
NFATC4	-0.4
KLRA1	0.29
GPR97	NA
PPFIA2	0.43
BCL6B	0.76
OPRS1	0.63
CNTNAP1	NA
AQR	-0.81
SARS	-0.67
ACPT	0.65
CD4	-0.38
CD40LG	0.62
CLEC4D	0.43
SLC25A19	-0.55
YSK4	-0.82
TCEB3	-0.57
PCDHB11	-0.53
SMS	-0.85
SRCAP	-0.64
C19ORF43	-0.62
POLR2H	-0.69
FKBP10	NA
STK17B	NA
UGCG	-0.75
PPIL4	0.61
ZNF681	0.68
TEP1	0.5
OR11A1	-0.56
EFEMP1	-0.85
UFC1	-0.47
CRY2	NA
CGN	NA
GRSF1	-0.58
AS3MT	-0.69
UBXD8	NA
ZFX	-0.64
PRKCH	0.46
PCDHB1	-0.36
NKRF	0.39
TNFRSF11A	0.34
KIAA0828	-0.65
TNNT3	NA
SNF1LK	0.41
CAT	-0.82
NEFH	-0.85
OR12D2	0.26
XRCC6	-0.7
RBL1	-0.53
UBLCP1	0.76
DIRAS3	-0.54
CRNN	NA
RGS18	-0.72
POLR2I	-0.75
ETV6	0.76
PRKAA2	-0.66
FCGR2A	-0.4
CUL3	-0.42
PHACTR4	-0.6
LOC285498	NA
FCGR3B	0.4
PLA2G4D	-0.85
TPX2	-0.71
USP10	0.73
ASAH3	0.41
PRIM2A	-0.73
GNPTG	-0.25
AATF	-0.85
ADAM29	-0.38
IL32	0.46
DMBT1	-0.5
YWHAQ	-0.49
DDIT4	-0.74
PCDH11Y	-0.53
KIAA1604	-0.62
EFTUD2	-0.65
CUL2	0.76
NDUFA4	-0.57
DAPK1	NA
DOPEY1	-0.61
BIRC5	-0.72
USP14	-0.69
RBP7	-0.28
LOC392145	-0.39
DAD1	0.49
ADAR	0.76
GNG5	-0.59
GGTL3	0.41
ADAMTS16	-0.79
CDK2AP2	-0.89
SNED1	NA
PIPOX	0.26
ENPP3	-0.52
PLA2G7	NA
GPR42	0.43
PAPPA2	-0.64
GRPEL2	-0.57
UBB	-0.72
HINT2	NA
ABLIM1	0.43
POLR3D	-0.41
PLEKHG1	-0.73
TRIM34	NA
NHLH2	0.31
GTPBP4	-0.49
RREB1	0.31
BRWD1	-0.85
UBE2Q2	-0.71
FCGR1A	0.61
CD52	-0.85
PIAS3	NA
IL28B	NA
PPP1R13L	0.83
IRX4	NA
TIMP1	NA
FUT7	-0.5
BNIP1	-0.54
TLR8	0.82
SLC15A1	-0.67
IL17RC	-0.75
GM2A	-0.58
KLF3	-0.63
MBTPS1	-0.57
CCT5	-0.85
HERC4	-0.66
LIG4	0.32
