pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez
Activation of NMDA receptor upon glutamate binding and postsynaptic events	31	7	1.70086351812749	0.783042394014963	0.724589967342617	ACTN2;CALM3;CAMK4;CREB1;MAPK1;RAF1;RPS6KA1
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	0	NA	NA	NA	NA	
Activation of Rac	12	2	6.2713710429364	0.0755750273822563	0.378971695166488	PAK2;ROBO1
Activation of SMO	17	2	2.31302514323926	0.64713216957606	0.692777112779981	GAS8;SMO
Activation of the AP-1 family of transcription factors	0	NA	NA	NA	NA	
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	39	2	5.66713850175704	0.136911281489595	0.446785213115253	EIF2S2;RPS3A
Activation of the phototransduction cascade	0	NA	NA	NA	NA	
Activation of the pre-replicative complex	25	2	2.35522235858326	0.791894852135816	0.728788248283836	MCM10;POLE
Acyl chain remodelling of PC	17	4	5.69082143618092	0.0892018779342723	0.378971695166488	LPCAT4;PLA2G2A;PLA2G4D;PLA2G4E
Acyl chain remodelling of PE	16	5	6.13297063817023	NA	NA	LPCAT4;PLA2G2A;PLA2G4D;PLA2G4E;PLBD1
Acyl chain remodelling of PG	10	3	4.63107725592543	0.214788732394366	0.563978051061066	LPCAT4;PLA2G2A;PLA2G4D
Acyl chain remodelling of PS	11	4	5.69082143618092	0.0892018779342723	0.378971695166488	LPCAT4;PLA2G2A;PLA2G4D;PLA2G4E
Adaptive Immune System	431	2	3.65068194513753	0.286401925391095	0.623785356991821	RAF1;RAP1B
Adenylate cyclase activating pathway	10	2	3.21367322381081	NA	NA	ADCY8;GNAL
Adenylate cyclase inhibitory pathway	14	2	3.21367322381081	0.522300469483568	0.632289716362594	ADCY8;GNAL
Adherens junctions interactions	20	2	3.08293746512464	0.475062344139651	0.623785356991821	CDH6;CTNNA1
ADP signalling through P2Y purinoceptor 1	17	2	1.62774053295303	0.836854460093897	0.739922915505981	GNA11;GNG2
ADP signalling through P2Y purinoceptor 12	17	2	1.1830471057956	0.918050941306755	0.752326154722782	GNAI2;GNG2
Adrenaline,noradrenaline inhibits insulin secretion	23	3	1.48455721255323	0.865023474178404	0.746171194613845	ADCY5;GNAI2;GNG2
Advanced glycosylation endproduct receptor signaling	0	NA	NA	NA	NA	
Aflatoxin activation and detoxification	14	2	2.45449717567055	0.54632972322503	0.642418304573185	CYP2A13;MGST3
AKT phosphorylates targets in the cytosol	10	2	3.1899252730575	0.375451263537906	0.623785356991821	AKT1;CHUK
alpha-linolenic acid (ALA) metabolism	0	NA	NA	NA	NA	
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	0	NA	NA	NA	NA	
Amine-derived hormones	0	NA	NA	NA	NA	
Amino acid and derivative metabolism	146	5	6.2256804000586	0.0276774969915764	0.378971695166488	BCAT1;GLUD1;PSAT1;PSPH;SLC25A21
Amino acid and oligopeptide SLC transporters	42	3	5.60477046474563	0.0469314079422383	0.378971695166488	SLC1A3;SLC1A5;SLC38A2
Amino acid synthesis and interconversion (transamination)	18	2	7.28805717727327	0.00842358604091456	0.378971695166488	GLUD1;GOT2
Amino acid transport across the plasma membrane	25	2	4.96948254884219	0.098676293622142	0.384245156985485	SLC1A5;SLC38A2
Amyloid formation	30	2	2.38222443696228	0.697183098591549	0.717318816047996	HIST1H3I;HIST1H4J
Anchoring of the basal body to the plasma membrane	78	6	5.40697287546869	0.167579408543264	0.49224047537441	CEP135;CEP152;RAB11A;RPGRIP1L;SEPT2;TCTN2
Androgen biosynthesis	0	NA	NA	NA	NA	
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	0	NA	NA	NA	NA	
Antigen Presentation: Folding, assembly and peptide loading of class I MHC	12	2	3.41317808547338	0.508305647840532	0.626576753130214	HLA-C;SEC24B
Antigen processing-Cross presentation	39	2	5.91285920845296	0.0727699530516432	0.378971695166488	PSMD5;PSME4
Antigen processing: Ubiquitination & Proteasome degradation	171	52	4.32139567354075	0.211970074812968	0.561518764501179	ANAPC1;ANAPC5;ASB2;ASB5;CBLB;CDC27;CUL5;DET1;FBXO3;FBXO6;FBXW7;HECTD3;ITCH;KLHL21;LRSAM1;NEDD4L;PSMA1;PSMB10;PSMB11;PSMC1;PSMC6;PSMD13;PSMD5;PSMD8;PSMD9;PSME4;RCHY1;RNF123;RNF138;RNF144B;RNF19B;RNF220;RNF34;RNF4;SMURF2;TRIM11;TRIM37;TRIM63;TRIM71;UBA52;UBA6;UBA7;UBE2K;UBE2Q1;UBE2Q2;UBE2W;UBE2Z;UBE3B;UBE3C;UBR4;VPRBP;WWP1
Antiviral mechanism by IFN-stimulated genes	53	2	6.07591812384921	0.0361596009975062	0.378971695166488	NUP188;NUP205
APC/C:Cdc20 mediated degradation of Cyclin B	13	2	1.32222630263479	0.926615553121577	0.752326154722782	ANAPC4;ANAPC5
APC/C:Cdc20 mediated degradation of mitotic proteins	52	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
APC/C:Cdc20 mediated degradation of Securin	45	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	50	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	51	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
APC-Cdc20 mediated degradation of Nek2A	15	2	1.84193725852376	0.869660460021906	0.746171194613845	ANAPC5;BUB1B
APC/C-mediated degradation of cell cycle proteins	61	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
Apoptosis	112	5	5.54726705643098	0.049338146811071	0.378971695166488	CASP3;GSN;PAK2;PSMD5;PSME4
Apoptosis induced DNA fragmentation	0	NA	NA	NA	NA	
Apoptotic cleavage of cellular proteins	0	NA	NA	NA	NA	
Apoptotic execution  phase	33	3	3.32107454334212	0.344163658243081	0.623785356991821	CASP3;GSN;PAK2
Aquaporin-mediated transport	33	2	4.27433717851166	0.188929001203369	0.523044576799147	MYO5B;RAB11A
Arachidonic acid metabolism	47	2	5.23931853569015	0.0770156438026474	0.378971695166488	ALOX15;GPX4
ARMS-mediated activation	185	72	3.25629441718714	0.359807460890493	0.623785356991821	ACTN2;AKAP9;APBB1IP;ARRB2;CNKSR1;CSF2RB;DUSP1;DUSP10;DUSP16;DUSP4;DUSP7;EGF;ERBB3;ERBB4;FGA;FGF6;FGFR3;FGFR4;FN1;GRB2;IL2RA;IL3;JAK2;KIT;KLB;KRAS;KSR1;KSR2;LAMTOR3;LAT;MAP2K1;MAPK1;MARK3;NCAM1;NF1;NRAS;NRG1;PDGFA;PDGFRB;PHB;PPP2CA;PPP2R1B;PPP2R5B;PSMA6;PSMA8;PSMB10;PSMB11;PSMB4;PSMC6;PSMD1;PSMD13;PSMD2;PSMD5;PSMD6;PSME1;PSME4;PSMF1;PTK2;RAF1;RAP1B;RASA1;RASAL1;RASAL2;RASGRP3;SHC2;SOS1;SPTAN1;SPTB;SPTBN1;SPTBN2;SPTBN4;TEK
Asparagine N-linked glycosylation	0	NA	NA	NA	NA	
Assembly of collagen fibrils and other multimeric structures	20	2	4.93913138669604	0.104693140794224	0.384353028118675	COL18A1;MMP9
Assembly Of The HIV Virion	0	NA	NA	NA	NA	
Assembly of the pre-replicative complex	51	2	5.91285920845296	0.0727699530516432	0.378971695166488	PSMD5;PSME4
Assembly of the primary cilium	149	49	3.75817875514387	0.311720698254364	0.623785356991821	AKAP9;BBS1;BBS2;BBS9;CCP110;CCT3;CCT4;CCT5;CCT8;CDK5RAP2;CENPJ;CEP135;CEP152;CEP164;CEP250;CEP41;CEP76;CEP78;CNGB1;DYNC2H1;DYNLL1;EXOC1;EXOC2;EXOC3;EXOC7;EXOC8;FBF1;IFT22;KIF17;NEDD1;NINL;NPHP4;ODF2;PLK1;PRKAR2B;RAB11A;RAB3IP;RHO;RPGRIP1L;SEPT2;SSTR3;TCTEX1D2;TCTN2;TTC21B;TTC8;TUBA1A;WDR34;WDR60;YWHAE
Association of licensing factors with the pre-replicative complex	0	NA	NA	NA	NA	
Association of TriC/CCT with target proteins during biosynthesis	26	2	6.67859147747633	0.0328638497652582	0.378971695166488	CCT4;CCT6A
Asymmetric localization of PCP proteins	44	2	5.91285920845296	0.0727699530516432	0.378971695166488	PSMD5;PSME4
A tetrasaccharide linker sequence is required for GAG synthesis	20	2	2.18284999866626	0.677057356608479	0.705797891491066	GXYLT1;SDC3
ATF4 activates genes	0	NA	NA	NA	NA	
ATF6-alpha activates chaperone genes	0	NA	NA	NA	NA	
ATF6-alpha activates chaperones	0	NA	NA	NA	NA	
Attenuation phase	0	NA	NA	NA	NA	
AUF1 (hnRNP D0) binds and destabilizes mRNA	0	NA	NA	NA	NA	
Autodegradation of Cdh1 by Cdh1:APC/C	42	2	4.307211311502	0.310077519379845	0.623785356991821	PSMD13;PSMD5
Autodegradation of the E3 ubiquitin ligase COP1	38	2	5.91285920845296	0.102957283680175	0.384245156985485	PSMD5;PSME4
Axon guidance	419	174	3.46646399198543	0.316486161251504	0.623785356991821	ABL2;ABLIM1;ABLIM2;ACTN2;ADAM10;AKAP9;ANK1;ANK2;ANK3;AP2A1;AP2M1;AP2S1;APBB1IP;APH1A;APH1B;ARHGAP35;ARHGEF12;ARHGEF28;ARPC4;ARTN;BTC;CACNA1C;CACNA1G;CACNA1I;CACNB3;CALM3;CHL1;CLASP2;CLTA;CLTC;CLTCL1;CNKSR1;CNTN6;COL4A3;COL6A3;COL6A5;COL6A6;CRMP1;CSF2RB;DAB2IP;DCC;DNM3;DPYSL3;DUSP1;EFNA3;EFNA5;EGF;EGFR;EPHA3;EPHA5;EPHA6;EPHA8;EPHB2;EPHB3;EPHB6;FGF20;FGF23;FGF4;FGF8;FGF9;FGFR3;FGG;GFRA4;GIT1;GRB2;GSK3B;HRAS;HSP90AA1;IL3;ITGA1;ITGA5;ITGB1;ITGB3;ITSN1;KIF4B;KIT;KRAS;LAT;LIMK2;LYN;MAPK1;MET;MMP2;MMP9;MYH14;MYH9;MYL12A;MYO10;NCAM1;NCAN;NCSTN;NEO1;NF1;NFASC;NGEF;NRCAM;NRG1;NRG2;NRP1;NTN1;PAK2;PAK6;PDGFA;PDGFB;PDGFRB;PFN1;PFN2;PHB;PLXNA1;PLXNA4;PPP2CA;PPP2R5E;PSEN2;PSMA1;PSMA4;PSMA5;PSMA6;PSMB3;PSMB4;PSMC5;PSMD14;PSMD5;PSMD6;PSMD8;PSMD9;PSME4;PTPRC;RAC2;RASA3;RASAL2;RASAL3;RASGRF1;RASGRF2;RGMB;RHOA;RHOC;RND1;ROBO1;ROBO2;ROBO3;ROCK2;RPS6KA4;SCN1A;SCN2A;SCN3A;SCN3B;SCN4A;SCN5A;SCN7A;SCN8A;SCN9A;SDC2;SDCBP;SEMA4D;SEMA7A;SH3GL2;SHC3;SLIT1;SLIT3;SPRED1;SPRED3;SPTAN1;SPTBN1;SPTBN4;SRGAP3;ST8SIA2;TIAM1;TLN1;TYROBP;UBA52;VAV3;WASL;WDR83;YES1
Base Excision Repair	24	2	3.52030536499711	0.449530516431925	0.623785356991821	FEN1;PARP2
Basigin interactions	20	2	2.66155208239039	0.49338146811071	0.623785356991821	BSG;ITGA6
BBSome-mediated cargo-targeting to cilium	20	2	5.51659584960045	0.125138427464009	0.42055668130844	BBS1;CCT4
B Cell Activation	138	2	5.91285920845296	0.0373044524669073	0.378971695166488	PSMD5;PSME4
Beta-catenin independent WNT signaling	108	3	3.12503948657744	0.386281588447653	0.623785356991821	AGO2;TNRC6A;TNRC6B
Beta-catenin phosphorylation cascade	11	2	2.52310276916692	0.746987951807229	0.717318816047996	CTNNB1;PPP2CA
Bile acid and bile salt metabolism	31	2	3.56026904252842	0.303249097472924	0.623785356991821	FABP6;NCOA1
Binding and Uptake of Ligands by Scavenger Receptors	26	5	2.98589797226979	0.410348977135981	0.623785356991821	APOB;HSPH1;MSR1;SCARF1;STAB2
Biological oxidations	135	34	4.21289265665506	0.197352587244284	0.531127763727121	ACSS2;ADH1A;ADH1B;ADH1C;AKR1A1;ALDH1A1;CNDP2;CYP19A1;CYP1A1;CYP26B1;CYP2C9;CYP2F1;CYP46A1;CYP4B1;DPEP2;FMO1;FMO3;GGCT;GSS;GSTM1;GSTO1;GSTZ1;MGST1;MGST3;NCOA1;PAPSS2;SLC35D1;SULT1A1;SULT1A2;SULT1B1;SULT2A1;UGT1A7;UGT2B28;UGT2B4
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	0	NA	NA	NA	NA	
Biotin transport and metabolism	10	2	2.76288593258179	0.468110709987966	0.623785356991821	ACACB;HLCS
BMAL1:CLOCK,NPAS2 activates circadian gene expression	35	6	3.41760410449427	0.323706377858002	0.623785356991821	EP300;F7;NCOA1;NPAS2;NR1D1;PPARA
Branched-chain amino acid catabolism	11	2	0.0502859213734487	0.983152827918171	0.761613176355376	HIBADH;HIBCH
Budding and maturation of HIV virion	18	2	3.11112212018111	0.64512595837897	0.691725632236838	CHMP4A;TSG101
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	15	3	1.33742261877313	0.900332225913621	0.749362450230115	AKT1;MAPKAPK2;ZFP36L1
Ca2+ pathway	43	2	1.17614140899182	0.881546134663342	0.749362450230115	CALM3;NFATC1
Ca-dependent events	19	5	2.96666062121961	0.418772563176895	0.623785356991821	ADCY1;ADCY3;ADCY8;ADCY9;PDE1C
Calcitonin-like ligand receptors	0	NA	NA	NA	NA	
Calmodulin induced events	19	5	2.96666062121961	0.418772563176895	0.623785356991821	ADCY1;ADCY3;ADCY8;ADCY9;PDE1C
Calnexin/calreticulin cycle	10	3	3.7612945055747	NA	NA	EDEM3;MAN1B1;UGGT2
CaM pathway	19	5	2.83589748630918	0.451263537906137	0.623785356991821	ADCY3;ADCY8;ADCY9;CALM3;CAMK4
Cap-dependent Translation Initiation	79	4	6.37633269449675	0.0598006644518272	0.378971695166488	EIF2S2;EIF3F;RPL31;RPS3A
Carbohydrate metabolism	198	46	4.27137901397946	0.188929001203369	0.523044576799147	B4GALT1;B4GALT5;CALM3;ENO2;FBP2;FMOD;GAA;GAPDHS;GCK;GOT2;GPI;GYG1;GYS1;HK1;HK2;KERA;LCT;MDH1;MDH2;NUP107;NUP133;NUP188;NUP205;NUP37;NUP93;NUPL2;PC;PCK1;PFKFB3;PFKM;PPP1R3C;PYGM;SI;SLC25A10;SLC25A11;SLC25A12;SLC25A13;SLC2A1;SLC2A3;SLC5A1;SLC5A9;SORD;ST3GAL6;TKT;TPR;XYLB
Cargo concentration in the ER	29	2	3.37537282897093	0.394014962593516	0.623785356991821	F5;SEC24B
Cargo trafficking to the periciliary membrane	36	2	5.51659584960045	0.0648379052369077	0.378971695166488	BBS1;CCT4
CASP8 activity is inhibited	11	2	1.84045684203284	0.828349944629014	0.739574260943796	CASP8;FAS
Caspase activation via extrinsic apoptotic signalig pathway	24	2	2.19665628665208	0.674563591022444	0.705289965876925	DAPK1;UNC5B
Caspase-mediated cleavage of cytoskeletal proteins	0	NA	NA	NA	NA	
CD209 (DC-SIGN) signaling	0	NA	NA	NA	NA	
CD28 co-stimulation	25	2	3.26799262679453	0.425187032418953	0.623785356991821	AKT1;THEM4
CD28 dependent PI3K/Akt signaling	10	2	3.26799262679453	0.425187032418953	0.623785356991821	AKT1;THEM4
CD28 dependent Vav1 pathway	0	NA	NA	NA	NA	
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	50	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
CDC6 association with the ORC:origin complex	0	NA	NA	NA	NA	
CDK-mediated phosphorylation and removal of Cdc6	37	2	5.91285920845296	0.102957283680175	0.384245156985485	PSMD5;PSME4
CDO in myogenesis	26	4	2.78136171831841	0.553615960099751	0.642778361174632	BOC;CTNNA1;MAPK11;SPAG9
CDT1 association with the CDC6:ORC:origin complex	44	2	5.91285920845296	0.08859357696567	0.378971695166488	PSMD5;PSME4
Cell-Cell communication	64	2	4.04499497268283	0.223826714801444	0.570552940114229	ACTN1;NPHS1
Cell-cell junction organization	20	2	3.08293746512464	0.392298435619735	0.623785356991821	CDH6;CTNNA1
Cell Cycle	438	215	0.534528952667563	0.967509025270758	0.755254804411399	ACD;ANAPC1;ANAPC2;ANAPC4;ANAPC5;ANAPC7;ANKLE2;APITD1;APITD1-CORT;ATM;AURKB;BANF1;BRCA2;BUB1B;BUB3;CCNA2;CCNB1;CCNE2;CDC14A;CDC16;CDC25C;CDC45;CDC6;CDC7;CDK1;CDK11A;CDK6;CDK7;CDKN2A;CDT1;CENPC;CENPE;CENPK;CENPO;CENPP;CEP152;CEP164;CEP250;CEP63;CEP70;CHEK1;CHEK2;CKAP5;CLASP1;CLIP1;CNEP1R1;CNTRL;CSNK1D;CSNK2A1;CUL1;DBF4;DCTN1;DCTN3;DHFR;DNA2;DYNLL1;E2F1;E2F2;E2F5;EP300;ESPL1;FAM175A;FEN1;FKBP6;FOXM1;FZR1;GMNN;HIST1H2AB;HIST1H2AJ;HIST1H2BC;HIST1H2BI;HIST1H2BM;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3I;HIST1H4J;HIST1H4K;HIST4H4;HSP90AA1;HSPA2;KAT5;KIF18A;KIF23;KIF2A;KIF2B;KNTC1;LIG1;LIN54;LPIN3;MAD1L1;MAD2L1;MCM10;MCM2;MCM5;MCM6;MCM7;MDM2;MIS18BP1;MLH3;MYBL2;NBN;NCAPD2;NCAPG;NCAPG2;NDC80;NDE1;NEK2;NEK9;NINL;NPM1;NSL1;NUMA1;NUP188;NUP50;NUPL2;ODF2;ORC1;ORC2;ORC4;PCM1;PCNT;PDS5B;PIAS4;PLK1;PLK4;POLA2;POLD1;POLE;PPP1CC;PPP2CA;PPP2R1A;PPP2R1B;PPP2R2A;PPP2R5C;PPP2R5E;PRDM9;PRIM1;PRKACA;PRKCA;PSMA1;PSMA3;PSMA4;PSMA7;PSMB11;PSMB3;PSMB4;PSMC3;PSMD1;PSMD11;PSMD14;PSMD2;PSMD3;PSMD5;PSMD9;PSME1;PSME4;RAD21;RAD51;RAD51C;RAD9B;RAE1;RANGAP1;RB1;RBBP4;RBBP8;RBL1;RBL2;REC8;RFC3;RFC4;RFWD2;RPA1;RPA2;RPA3;RRM2;RSF1;SDCCAG8;SEC13;SEH1L;SET;SETD8;SGOL1;SGOL2;SKP2;SMC2;SMC4;SPC25;STAG3;SUN2;SYCE1;SYCP1;SYCP2;TERF1;TERF2IP;TEX15;TMPO;TOP2A;TOP3A;TPR;TUBA1A;TUBG1;TUBGCP2;TUBGCP3;TUBGCP6;TYMS;UBA52;UBE2D1;USO1;VRK1;WEE1;WHSC1;YWHAE;YWHAZ;ZW10
Cell Cycle Checkpoints	131	32	1.83259675493883	0.7352587244284	0.717318816047996	ATM;ATR;BARD1;CDC25C;CDC7;CDK2;CHEK1;HIST1H2BA;HIST1H2BK;HIST1H4K;MCM10;MCM5;MCM6;MCM8;ORC1;ORC2;PSMA1;PSMA4;PSMA6;PSMB10;PSMB11;PSMC6;PSMD13;PSMD3;PSMD5;PSME4;RAD1;RFWD2;RPA3;TP53BP1;UIMC1;WEE1
Cell Cycle, Mitotic	359	171	0.763516990499836	0.948255114320096	0.753901725439927	ACTR1A;AHCTF1;ANAPC2;ANKLE2;APITD1;AURKA;BANF1;CASC5;CCNB1;CCND2;CCNH;CDC20;CDC25B;CDC27;CDC6;CDC7;CDK2;CDK5RAP2;CDKN2A;CENPE;CENPJ;CENPM;CENPN;CENPP;CENPU;CEP164;CEP250;CEP41;CEP72;CEP76;CEP78;CKAP5;CKS1B;CLASP1;CLASP2;CLIP1;CNTRL;CUL1;DCTN3;DNA2;DYRK1A;E2F1;E2F2;EP300;ESCO1;FEN1;FOXM1;GINS1;GINS4;GMNN;GOLGA2;GORASP1;HAUS2;HIST1H2AB;HIST1H2AD;HIST1H2BA;HIST1H2BB;HIST1H2BC;HIST1H2BE;HIST1H2BF;HIST1H2BM;HIST1H3B;HIST1H3C;HIST1H3D;HIST1H3I;HIST1H4B;HIST1H4J;HIST1H4K;HSP90AA1;ITGB3BP;KIF18A;KIF23;KIF2B;KNTC1;LEMD3;LIN52;LIN9;LMNA;LPIN3;MAD2L1;MCM2;MCM5;MCM6;MCPH1;MNAT1;MYBL2;NCAPG;NCAPH2;NDC80;NEDD1;NEK7;NEK9;NINL;NSL1;NUP153;NUP205;NUP210;NUP214;NUP35;NUP37;NUP98;NUPL2;OPTN;ORC1;ORC4;ORC5;ORC6;PDS5B;PLK1;PMF1;POLA2;POLD1;POLE;PPP1CB;PPP1R12A;PPP2CA;PPP2R1A;PPP2R1B;PPP2R2A;PPP2R2D;PPP2R5C;PPP2R5E;PRKCB;PSMA1;PSMA3;PSMB10;PSMB11;PSMB3;PSMB4;PSMB6;PSMC1;PSMC3;PSMC5;PSMC6;PSMD13;PSMD2;PSMD3;PSMD5;PSMD6;PSME1;PSME2;PSME4;RAB1A;RAB1B;RB1;RBL1;RBL2;RFC3;RPA1;SDCCAG8;SFI1;SGOL2;SKA1;SMC2;SPC25;SPDL1;STAG1;TK2;TMPO;TOP2A;TUBA1A;TUBA4A;TUBGCP2;TUBGCP3;TUBGCP5;TUBGCP6;UBE2E1;USO1;XPO1;ZW10;ZWINT
Cell death signalling via NRAGE, NRIF and NADE	47	6	5.20007034300618	0.0794223826714801	0.378971695166488	FGD3;ITSN1;MAPK8;MCF2L;OBSCN;RAC1
cell division	0	NA	NA	NA	NA	
Cell-extracellular matrix interactions	0	NA	NA	NA	NA	
Cell junction organization	29	2	3.3717727015236	0.333333333333333	0.623785356991821	ACTN1;PARVB
Cell surface interactions at the vascular wall	66	2	2.66155208239039	0.49338146811071	0.623785356991821	BSG;ITGA6
Cellular responses to stress	248	5	5.30918652118801	0.0673886883273165	0.378971695166488	ATG4B;ATG9B;MAP1LC3B;PIK3R4;PRKAA1
Cellular response to heat stress	74	5	6.88906825047966	0.0174563591022444	0.378971695166488	EP300;HSPA8;HSPH1;NUP188;NUP205
Cellular response to hypoxia	19	2	3.11841793378421	0.466334164588529	0.623785356991821	EP300;EPAS1
Cellular Senescence	111	44	1.91531072219089	0.739401496259352	0.717318816047996	ACD;AGO4;ANAPC5;CABIN1;CBX2;CDK2;E2F2;EED;EP400;ETS1;EZH2;FOS;H2AFZ;HIRA;HIST1H1C;HIST1H2BJ;HIST1H2BM;HIST1H3G;HIST1H3I;HIST1H4B;HIST1H4J;HIST1H4K;HIST2H2BE;HIST3H3;HIST4H4;IGFBP7;IL6;MAP2K6;MAPK1;MAPK11;MAPKAPK2;MAPKAPK3;RBBP4;RELA;SCMH1;SP1;TERF1;TERF2IP;TNIK;TNRC6A;TNRC6B;TNRC6C;TP53;UBN1
Centrosome maturation	63	6	4.35252028849407	0.348302300109529	0.623785356991821	CEP135;CEP152;CEP164;CEP41;NINL;TUBGCP2
Chaperonin-mediated protein folding	39	2	6.67859147747633	0.0199501246882793	0.378971695166488	CCT4;CCT6A
Chemokine receptors bind chemokines	0	NA	NA	NA	NA	
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	0	NA	NA	NA	NA	
Cholesterol biosynthesis	16	3	2.84985064811223	0.445246690734055	0.623785356991821	MVD;MVK;PMVK
Chondroitin sulfate biosynthesis	15	2	1.97949746465249	0.724438902743142	0.717318816047996	CHST11;CSPG4
Chondroitin sulfate/dermatan sulfate metabolism	31	4	2.53241174894544	0.528279181708785	0.632375390851537	CHST11;CSPG4;GXYLT1;SDC3
