db	pathwaysNames	netSize	subnetSize	subnetScore	pvalues	qvalues	geneListEntrez
kegg	Thyroid hormone signaling pathway	100	12	6.197017919	0.011325028	0.03821439	AKT1;ATP1A2;ATP1A4;EP300;MAPK1;MED13L;MED4;NCOA1;PIK3R2;STAT1;TBC1D4;THRA
kegg	Steroid hormone biosynthesis	47	3	7.838665605	0.012235818	0.03821439	CYP11B1;CYP11B2;HSD17B6
reactome	Influenza Infection	100	5	7.421677641	0.012910798	0.378971695	NUP107;NUP188;NUP205;RPL31;RPS3A
reactome	PPARA activates gene expression	93	6	7.033062291	0.013237064	0.378971695	EP300;HMGCS1;MED13L;MED4;NCOA1;SREBF2
reactome	Influenza Life Cycle	96	7	7.548613766	0.013289037	0.378971695	NUP107;NUP188;NUP205;NUPL2;RPL31;RPS3A;TPR
kegg	Arachidonic acid metabolism	56	4	7.690329007	0.013348165	0.03821439	ALOX15;PLA2G2A;PLA2G4D;PLA2G4E
kegg	GnRH signaling pathway	71	4	6.053064628	0.014722537	0.03821439	MAP3K2;PLA2G4D;PLA2G4E;PRKCB
reactome	Signaling by Robo receptor	29	3	7.129035623	0.014962594	0.378971695	ROBO1;ROBO2;ROBO3
reactome	Hedgehog 'off' state	72	6	7.043233559	0.014962594	0.378971695	GLI2;ITCH;PSMD5;PSME4;RPGRIP1L;TTC21B
kegg	Ovarian steroidogenesis	31	3	6.291380954	0.015463918	0.03821439	ADCY8;PLA2G4D;PLA2G4E
reactome	Phospholipid metabolism	114	12	6.876088297	0.015643803	0.378971695	ARF1;GPCPD1;INPP4B;MTMR2;MTMR6;PIK3C2G;PIK3R4;PIP5K1A;PLA2G2A;PLA2G4D;PLA2G4E;PLBD1
reactome	Transcriptional regulation of white adipocyte differentiation	56	3	6.939085029	0.016209476	0.378971695	EP300;MED13L;NCOA1
reactome	Influenza Viral RNA Transcription and Replication	92	5	7.345986935	0.016611296	0.378971695	NUP188;NUP205;NUPL2;RPL31;RPS3A
reactome	HATs acetylate histones	92	4	6.704806228	0.016847172	0.378971695	EP300;HIST3H2A;ING5;MEAF6
reactome	Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)	96	9	6.753651919	0.016847172	0.378971695	EP300;FADS1;HMGCS1;MED13L;MED4;NCOA1;NCOR2;RXRA;SREBF2
reactome	Cellular response to heat stress	74	5	6.88906825	0.017456359	0.378971695	EP300;HSPA8;HSPH1;NUP188;NUP205
reactome	Interferon Signaling	136	23	6.522363667	0.018050542	0.378971695	FLNB;GBP1;HLA-C;IFITM3;IRF5;ISG15;KPNA4;NEDD4;NUP188;NUP205;NUP210;NUPL2;OAS3;PPM1B;PRKCD;PTPN6;STAT1;TPR;TRIM17;TRIM29;TRIM3;TRIM6;VCAM1
reactome	Collagen biosynthesis and modifying enzymes	52	5	6.858085914	0.018703242	0.378971695	COL18A1;COL27A1;COL28A1;COLGALT1;P4HB
reactome	Chaperonin-mediated protein folding	39	2	6.678591477	0.019950125	0.378971695	CCT4;CCT6A
reactome	Protein folding	44	2	6.678591477	0.019950125	0.378971695	CCT4;CCT6A
reactome	Peptide hormone metabolism	51	2	6.39359412	0.02045728	0.378971695	GHRL;KLF4
reactome	O-linked glycosylation	85	2	6.366301909	0.02045728	0.378971695	GALNT16;MUC2
reactome	O-linked glycosylation of mucins	50	2	6.366301909	0.02045728	0.378971695	GALNT16;MUC2
kegg	Vascular smooth muscle contraction	98	12	5.797691628	0.021517554	0.049629178	ADCY8;ARHGEF1;AVPR1A;GNA11;GNA12;ITPR1;MYLK;PLA2G2A;PLA2G4D;PLA2G4E;PLCB1;PRKACB
kegg	Melanoma	54	3	5.715335891	0.023782559	0.050999016	EGF;IGF1R;PDGFRB
reactome	HDACs deacetylate histones	56	2	7.040847307	0.024647887	0.378971695	GATAD2B;HIST3H2A
kegg	Linoleic acid metabolism	27	2	6.382320276	0.025059666	0.050999016	ALOX15;PLA2G4D
reactome	TNFR2 non-canonical NF-kB pathway	65	5	6.270416402	0.027431421	0.378971695	CHUK;MAP3K14;PSMD5;PSME4;TNFRSF13C
reactome	Host Interactions of HIV factors	83	12	6.218019287	0.027431421	0.378971695	APOBEC3G;ARF1;CD4;NUP107;NUP188;NUP205;NUPL2;PSIP1;PSMD13;PSMD5;PSME4;TPR
reactome	Netrin-1 signaling	28	2	6.245781741	0.027677497	0.378971695	ROBO1;SLIT3
reactome	Interferon alpha/beta signaling	51	2	6.243564813	0.027677497	0.378971695	IRF5;STAT1
reactome	Amino acid and derivative metabolism	146	5	6.2256804	0.027677497	0.378971695	BCAT1;GLUD1;PSAT1;PSPH;SLC25A21
reactome	Regulation of cholesterol biosynthesis by SREBP (SREBF)	48	6	6.155657239	0.027677497	0.378971695	ACACB;HMGCS1;MVK;NCOA1;SREBF1;SREBF2
kegg	"Alanine, aspartate and glutamate metabolism"	26	2	5.963786904	0.028350515	0.051778639	GLUD1;NIT2
kegg	Glycerophospholipid metabolism	80	4	6.724923038	0.028436019	0.051778639	EPT1;PLA2G2A;PLA2G4D;PLA2G4E
reactome	SUMOylation	65	2	6.075918124	0.028880866	0.378971695	NUP188;NUP205
reactome	tRNA processing	35	2	6.075918124	0.028880866	0.378971695	NUP188;NUP205
reactome	Laminin interactions	21	2	6.799367632	0.030516432	0.378971695	ITGA6;LAMA5
nci	Stabilization and expansion of the E-cadherin adherens junction	36	3	5.562016359	0.032223416	0.413086191	ACTN1;CTNNA1;IGF1R
reactome	Association of TriC/CCT with target proteins during biosynthesis	26	2	6.678591477	0.03286385	0.378971695	CCT4;CCT6A
reactome	Rho GTPase cycle	95	5	5.995302994	0.036101083	0.378971695	CHN1;FGD3;MCF2L;OBSCN;RHOBTB2
reactome	Degradation of the extracellular matrix	67	6	5.995118094	0.036101083	0.378971695	COL18A1;LAMA3;LAMA5;MMP14;MMP9;NID1
reactome	Antiviral mechanism by IFN-stimulated genes	53	2	6.075918124	0.036159601	0.378971695	NUP188;NUP205
reactome	Gene Silencing by RNA	85	2	6.075918124	0.036159601	0.378971695	NUP188;NUP205
reactome	Late Phase of HIV Life Cycle	94	2	6.075918124	0.036159601	0.378971695	NUP188;NUP205
reactome	Nuclear Envelope Breakdown	45	2	6.075918124	0.036159601	0.378971695	NUP188;NUP205
reactome	SUMO E3 ligases SUMOylate target proteins	60	2	6.075918124	0.036159601	0.378971695	NUP188;NUP205
reactome	SUMOylation of DNA damage response and repair proteins	60	2	6.075918124	0.036159601	0.378971695	NUP188;NUP205
reactome	tRNA processing in the nucleus	35	2	6.075918124	0.036159601	0.378971695	NUP188;NUP205
reactome	Striated Muscle Contraction	32	2	7.119424232	0.037239869	0.378971695	MYL2;TCAP
reactome	B Cell Activation	138	2	5.912859208	0.037304452	0.378971695	PSMD5;PSME4
reactome	Organelle biogenesis and maintenance	245	2	5.902858679	0.037304452	0.378971695	MRPL22;PTCD3
reactome	Activation of gene expression by SREBF (SREBP)	37	4	5.937196746	0.037304452	0.378971695	HMGCS1;MVK;NCOA1;SREBF2
kegg	HIF-1 signaling pathway	79	3	5.469944839	0.038505096	0.065301549	EGF;EP300;IGF1R
kegg	Adherens junction	51	5	5.416411347	0.039637599	0.065301549	ACTN1;CTNNA1;CTNNB1;IGF1R;TCF7
reactome	CLEC7A (Dectin-1) signaling	57	2	5.912859208	0.041147132	0.378971695	PSMD5;PSME4
reactome	Downstream TCR signaling	58	2	5.912859208	0.041147132	0.378971695	PSMD5;PSME4
reactome	Metabolism of polyamines	62	2	5.912859208	0.041147132	0.378971695	PSMD5;PSME4
reactome	Regulation of mRNA stability by proteins that bind AU-rich elements	59	2	5.912859208	0.041147132	0.378971695	PSMD5;PSME4
reactome	S Phase	94	2	5.912859208	0.041147132	0.378971695	PSMD5;PSME4
reactome	Synthesis of DNA	74	2	5.912859208	0.041147132	0.378971695	PSMD5;PSME4
reactome	Signaling by NOTCH	85	11	5.640867839	0.0433213	0.378971695	ATP2A1;DTX1;DTX4;EP300;HDAC5;ITCH;NCOR2;NOTCH1;SNW1;TNRC6A;TNRC6B
reactome	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	20	2	6.678591477	0.044296788	0.378971695	CCT4;CCT6A
reactome	Formation of tubulin folding intermediates by CCT/TriC	16	2	6.678591477	0.044296788	0.378971695	CCT4;CCT6A
reactome	Prefoldin mediated transfer of substrate  to CCT/TriC	19	2	6.678591477	0.044296788	0.378971695	CCT4;CCT6A
reactome	RHO GTPases activate PAKs	18	2	5.737144493	0.046134663	0.378971695	MYH14;MYLK
nci	Validated targets of C-MYC transcriptional activation	59	4	5.791956001	0.046590909	0.413086191	BCAT1;CDCA7;MAX;MMP9
reactome	Amino acid and oligopeptide SLC transporters	42	3	5.604770465	0.046931408	0.378971695	SLC1A3;SLC1A5;SLC38A2
reactome	Downstream signaling events of B Cell Receptor (BCR)	123	7	5.584092812	0.046931408	0.378971695	AKT1;CHUK;NFKBIA;PSMD13;PSMD5;PSME4;THEM4
kegg	VEGF signaling pathway	53	3	5.31864527	0.047565119	0.07172121	PLA2G4D;PLA2G4E;PLCG1
kegg	Drug metabolism - cytochrome P450	56	2	5.589905591	0.047680412	0.07172121	ALDH3B2;GSTM1
nci	Validated targets of C-MYC transcriptional repression	44	3	5.765984005	0.047727273	0.413086191	ITGA6;MAX;PDGFRB
reactome	Metabolism of steroid hormones and vitamin D	22	3	5.55989877	0.048134777	0.378971695	AKR1B15;CYP11B1;CYP11B2
reactome	Steroid hormones	22	3	5.55989877	0.048134777	0.378971695	AKR1B15;CYP11B1;CYP11B2
reactome	Eukaryotic Translation Initiation	79	5	6.608057198	0.048726467	0.378971695	EIF2B1;EIF2S2;EIF3F;RPL31;RPS3A
reactome	Apoptosis	112	5	5.547267056	0.049338147	0.378971695	CASP3;GSN;PAK2;PSMD5;PSME4
reactome	Programmed Cell Death	114	5	5.547267056	0.049338147	0.378971695	CASP3;GSN;PAK2;PSMD5;PSME4
reactome	p75 NTR receptor-mediated signalling	63	7	5.553611111	0.049338147	0.378971695	FGD3;MAPK8;MCF2L;NGFR;OBSCN;PRDM4;RAC1
nci	Validated transcriptional targets of TAp63 isoforms	45	5	5.70755643	0.051136364	0.413086191	CABLES1;EP300;IGFBP3;ITCH;TP63
kegg	Ether lipid metabolism	39	4	6.724923038	0.052280311	0.075363726	EPT1;PLA2G2A;PLA2G4D;PLA2G4E
reactome	G alpha (s) signalling events	97	18	5.649277125	0.052369077	0.378971695	ADCY3;ADCY4;ADCY8;ADRB1;CALCA;CALCB;FSHB;GHRHR;GIP;GNAI2;GNAS;GNG2;HTR4;LHCGR;MC5R;PDE2A;PDE4B;RXFP2
nci	p73 transcription factor network	63	6	5.653410258	0.054545455	0.413086191	BAX;CASP2;EP300;ITCH;NTRK1;TP73
nci	Neurotrophic factor-mediated Trk receptor signaling	40	2	5.107885816	0.054779807	0.413086191	NTF3;NTRK1
reactome	Degradation of beta-catenin by the destruction complex	59	5	6.19445174	0.056338028	0.378971695	CTBP2;CTNNB1;PSMD5;PSME4;TCF7
reactome	Post-translational protein modification	307	6	5.4315878	0.056558363	0.378971695	NUP107;NUP188;NUP205;TPR;UBA2;UBE2I
kegg	Dilated cardiomyopathy	69	2	5.268324343	0.056625142	0.078361859	ITGA6;ITGA8
reactome	Mitotic Prophase	93	7	5.600750795	0.057356608	0.378971695	CCNB1;HIST1H3I;NUP107;NUP188;NUP205;NUPL2;TPR
reactome	ECM proteoglycans	41	3	5.415830541	0.057761733	0.378971695	LAMA3;LAMA5;LAMB2
reactome	Degradation of GLI1 by the proteasome	44	3	6.42723542	0.059800664	0.378971695	ITCH;PSMD5;PSME4
reactome	Cap-dependent Translation Initiation	79	4	6.376332694	0.059800664	0.378971695	EIF2S2;EIF3F;RPL31;RPS3A
reactome	GTP hydrolysis and joining of the 60S ribosomal subunit	73	5	6.428307911	0.059800664	0.378971695	EIF2S2;EIF3F;RPL31;RPS13;RPS3A
kegg	Jak-STAT signaling pathway	110	15	5.418556926	0.06185567	0.079813005	AKT1;CSH1;EP300;EPOR;IL7R;JAK2;LIFR;MTOR;OSMR;PIK3CG;PRL;PRLR;STAT1;STAT4;STAT6
kegg	Choline metabolism in cancer	58	8	5.155290724	0.062287656	0.079813005	MAPK8;PCYT1A;PDGFRB;PIK3CA;PLA2G4D;PLA2G4E;PLD2;SP1
reactome	Stimuli-sensing channels	86	3	5.343524431	0.062575211	0.378971695	CLCA1;RYR2;TPCN2
reactome	Extracellular matrix organization	215	82	5.363235987	0.062575211	0.378971695	A2M;ACTN1;ADAM10;ADAM15;ADAMTS4;ADAMTS5;AGRN;BCAN;CD151;CD47;CDH1;CEACAM6;COL13A1;COL18A1;COL1A1;COL22A1;COL23A1;COL26A1;COL27A1;COL28A1;COL2A1;COL4A2;COL4A3;COL5A3;COL6A1;COL6A2;COL7A1;COLGALT1;COMP;CTSB;CTSD;DAG1;ELN;F11R;FBLN1;FBN1;FBN2;FBN3;FGG;FURIN;ICAM3;ITGA2;ITGA2B;ITGA4;ITGA5;ITGA6;ITGA8;ITGB1;ITGB2;ITGB6;ITGB7;ITGB8;JAM3;LAMA3;LAMA5;LAMC3;LOXL4;LRP4;MATN1;MATN4;MFAP2;MFAP5;MMP3;MMP9;MUSK;NCAM1;NCAN;NID1;NID2;PLOD3;PRKCA;PSEN1;PTPRS;SDC2;SDC3;SDC4;SERPINE1;SERPINH1;TLL1;TNC;TNN;VTN
reactome	Glucose transport	38	2	6.075918124	0.063380282	0.378971695	NUP188;NUP205
reactome	Hexose uptake	42	2	6.075918124	0.063380282	0.378971695	NUP188;NUP205
reactome	Viral Messenger RNA Synthesis	36	2	6.075918124	0.063380282	0.378971695	NUP188;NUP205
nci	p75(NTR)-mediated signaling	45	4	5.521148629	0.063636364	0.413086191	CHUK;NGFR;NTRK1;PRDM4
reactome	Cargo trafficking to the periciliary membrane	36	2	5.51659585	0.064837905	0.378971695	BBS1;CCT4
reactome	Cellular responses to stress	248	5	5.309186521	0.067388688	0.378971695	ATG4B;ATG9B;MAP1LC3B;PIK3R4;PRKAA1
kegg	Oxidative phosphorylation	38	2	5.054348604	0.06795017	0.081063992	ATP5A1;PPA1
kegg	Fc epsilon RI signaling pathway	54	3	5.105293868	0.06795017	0.081063992	MAPK1;PLA2G4D;PLA2G4E
reactome	Metal ion SLC transporters	20	2	5.501958405	0.068578554	0.378971695	SLC30A6;SLC39A2
reactome	Zinc transporters	16	2	5.501958405	0.068578554	0.378971695	SLC30A6;SLC39A2
reactome	Transcriptional regulation by small RNAs	67	6	5.972035102	0.069248826	0.378971695	AGO2;NUP107;NUP188;NUP205;NUPL2;TNRC6A
reactome	Nucleotide Excision Repair	84	6	5.963124226	0.070422535	0.378971695	ACTR5;EP300;GTF2H3;INO80;POLR2A;XPC
kegg	Pyruvate metabolism	36	3	5.371797621	0.070876289	0.081736334	ACACB;ACSS2;ACYP2
reactome	Activation of NF-kappaB in B cells	48	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Antigen processing-Cross presentation	39	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Assembly of the pre-replicative complex	51	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Asymmetric localization of PCP proteins	44	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	DNA Replication Pre-Initiation	63	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	ER-Phagosome pathway	38	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	FCERI mediated NF-kB activation	53	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Hedgehog ligand biogenesis	51	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	M/G1 Transition	63	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Orc1 removal from chromatin	52	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Regulation of APC/C activators between G1/S and early anaphase	56	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Regulation of DNA replication	56	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Regulation of RAS by GAPs	51	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Removal of licensing factors from origins	54	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
reactome	Switching of origins to a post-replicative state	52	2	5.912859208	0.072769953	0.378971695	PSMD5;PSME4
nci	ErbB4 signaling events	30	3	4.933674519	0.073039742	0.413086191	ITCH;LRIG1;NRG1
reactome	MAPK6/MAPK4 signaling	65	6	5.411955874	0.073566085	0.378971695	IGF2BP1;MAPK4;MAPK6;PAK2;PSMD5;PSME4
nci	PDGFR-beta signaling pathway	84	4	5.393430672	0.073863636	0.413086191	PDGFRB;PPP2R2B;RAF1;STAT1
reactome	Transcriptional activation of mitochondrial biogenesis	32	2	5.266755723	0.074608905	0.378971695	ALAS1;NCOA1
reactome	Nucleotide metabolism	64	5	5.263860935	0.074608905	0.378971695	DCK;GUK1;IMPDH1;ITPA;NT5C2
reactome	Activation of Rac	12	2	6.271371043	0.075575027	0.378971695	PAK2;ROBO1
nci	Validated transcriptional targets of AP1 family members Fra1 and Fra2	28	5	5.294286341	0.076136364	0.413086191	EP300;FOSL1;FOSL2;LAMA3;MGP
reactome	Transport of Mature Transcript to Cytoplasm	45	2	6.075918124	0.07641196	0.378971695	NUP188;NUP205
reactome	Arachidonic acid metabolism	47	2	5.239318536	0.077015644	0.378971695	ALOX15;GPX4
reactome	PKMTs methylate histone lysines	41	3	5.245333151	0.077015644	0.378971695	HIST1H3I;KMT2C;SETD2
reactome	Non-integrin membrane-ECM interactions	36	3	5.245116149	0.077015644	0.378971695	DAG1;LAMA3;LAMA5
reactome	"Cell death signalling via NRAGE, NRIF and NADE"	47	6	5.200070343	0.079422383	0.378971695	FGD3;ITSN1;MAPK8;MCF2L;OBSCN;RAC1
reactome	Mitochondrial translation	57	2	6.190277585	0.081051479	0.378971695	MRPL21;PTCD3
reactome	Mitochondrial translation elongation	53	2	6.190277585	0.081051479	0.378971695	MRPL21;PTCD3
reactome	Mitochondrial translation initiation	52	2	6.190277585	0.081051479	0.378971695	MRPL21;PTCD3
reactome	Mitochondrial translation termination	52	2	6.190277585	0.081051479	0.378971695	MRPL21;PTCD3
reactome	C-type lectin receptors (CLRs)	80	4	5.191469996	0.081829122	0.378971695	EP300;PSMD5;PSME4;RELA
reactome	Macroautophagy	50	5	5.309186521	0.082294264	0.378971695	ATG4B;ATG9B;MAP1LC3B;PIK3R4;PRKAA1
reactome	ISG15 antiviral mechanism	53	9	5.288914391	0.082294264	0.378971695	ISG15;KPNA3;NUP107;NUP188;NUP205;NUPL2;PPM1B;STAT1;TPR
kegg	Inflammatory mediator regulation of TRP channels	79	7	4.936555767	0.082672707	0.086757773	GNAQ;ITPR1;NTRK1;PLA2G4D;PLA2G4E;PLCB1;PLCG2
reactome	Interaction between L1 and Ankyrins	27	2	5.957496195	0.085271318	0.378971695	NRCAM;SCN1A
kegg	"Glycine, serine and threonine metabolism"	28	2	5.56580216	0.087677725	0.086757773	AGXT;PSPH
nci	Hedgehog signaling events mediated by Gli proteins	30	2	4.646347117	0.088077336	0.413086191	GLI2;SPOP
reactome	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	53	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	APC/C:Cdc20 mediated degradation of mitotic proteins	52	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	APC/C:Cdc20 mediated degradation of Securin	45	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	50	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	51	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	APC/C-mediated degradation of cell cycle proteins	61	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	50	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	CDT1 association with the CDC6:ORC:origin complex	44	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Dectin-1 mediated noncanonical NF-kB signaling	43	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Degradation of DVL	42	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Degradation of GLI2 by the proteasome	44	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	GLI3 is processed to GLI3R by the proteasome	44	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Hh mutants abrogate ligand secretion	42	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Hh mutants that don't undergo autocatalytic processing are degraded by ERAD	42	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	NIK-->noncanonical NF-kB signaling	42	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	p53-Dependent G1 DNA Damage Response	42	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	p53-Dependent G1/S DNA damage checkpoint	42	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Regulation of mitotic cell cycle	61	2	5.912859208	0.088593577	0.378971695	PSMD5;PSME4
reactome	Host Interactions with Influenza Factors	31	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Interactions of Rev with host cellular proteins	31	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Interactions of Vpr with host cellular proteins	28	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Non-coding RNA Metabolism	44	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	NS1 Mediated Effects on Host Pathways	31	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Nuclear import of Rev protein	28	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Nuclear Pore Complex (NPC) Disassembly	30	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Rev-mediated nuclear export of HIV RNA	29	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	snRNP Assembly	44	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Transport of Mature mRNA derived from an Intron-Containing Transcript	41	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Transport of Mature mRNA Derived from an Intronless Transcript	32	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Transport of Mature mRNAs Derived from Intronless Transcripts	33	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Transport of the SLBP Dependant Mature mRNA	30	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Transport of the SLBP independent Mature mRNA	29	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Vpr-mediated nuclear import of PICs	28	2	6.075918124	0.08871851	0.378971695	NUP188;NUP205
reactome	Surfactant metabolism	18	2	5.102898535	0.089049338	0.378971695	CTSH;SFTPB
reactome	3' -UTR-mediated translational regulation	72	2	5.667138502	0.089201878	0.378971695	EIF2S2;RPS3A
reactome	L13a-mediated translational silencing of Ceruloplasmin expression	72	2	5.667138502	0.089201878	0.378971695	EIF2S2;RPS3A
reactome	Acyl chain remodelling of PC	17	4	5.690821436	0.089201878	0.378971695	LPCAT4;PLA2G2A;PLA2G4D;PLA2G4E
